Time;AccX;AccY;AccZ;Acc-old;Acc-trns
01:02.0;-0.23152701630040906;-0.11045767440727773;-1.0616445537537045;1.0859999999999999;0.02715042964206794
01:02.0;-0.19095770363926454;-0.201823787701164;-1.0151821697634342;1.186;0.03912492493231174
01:02.0;-0.15212721946525218;-0.2907196187332823;-0.9742895733416069;1.183;0.043089288470552635
01:02.0;-0.1167018689037799;-0.3745637211655518;-0.9430177057435997;0.96;0.041221459923943556
01:02.0;-0.08597441810882431;-0.45076591109045805;-0.9244601228254288;0.716;0.03582683905918598
01:02.0;-0.06075026603054102;-0.516872410111743;-0.9202845384036912;0.716;0.028897060049376564
01:02.0;-0.04128202616027152;-0.5708049315125009;-0.9303486242807107;0.85;0.02192272020406609
01:02.1;-0.027261442553787686;-0.6111338954402896;-0.9525644937629697;1.1159999999999999;0.015870097474360842
01:02.1;-0.017872534354244823;-0.6373167604691748;-0.983101587353384;1.3330000000000002;0.011197984906452853
01:02.1;-0.01190904516706631;-0.6498253011233879;-1.0169026758854112;1.419;0.007869605270683963
01:02.1;-0.007953465062262759;-0.6500924114704136;-1.048400568668344;1.439;0.005420741806607129
01:02.1;-0.0045907308993821125;-0.6402638436137427;-1.0722847547317496;1.436;0.003151744073006678
01:02.1;-0.0005994245868647473;-0.6228232414825763;-1.084175272349789;1.4269999999999998;0.00040476118701115424
01:02.1;0.004941220428656356;-0.6002049777102444;-1.0811035484297842;1.3880000000000001;0.0032062775483677427
01:02.1;0.012657291797569949;-0.574491130490801;-1.0617558657774875;1.189;0.0077205597674532105
01:02.1;0.022975907962986767;-0.5472388546800553;-1.0264893629665917;1.189;0.012906368519496239
01:02.1;0.03624458009759374;-0.5194414196423551;-0.9771720389146877;1.189;0.018397155574670192
01:02.2;0.0528005160294024;-0.4916015326369827;-0.9169066077905089;1.1179999999999999;0.02379997482767211
01:02.2;0.07294833072752745;-0.4638829504201772;-0.8496725442222678;0.985;0.028752482917699104
01:02.2;0.09685093262008639;-0.4362974388032135;-0.7799023944669826;0.8420000000000001;0.032955410400086406
01:02.2;0.12437336566177434;-0.408879426694498;-0.7120254092729859;0.732;0.036209133994681356
01:02.2;0.15493612871889254;-0.38180856781579803;-0.6500394228169437;0.654;0.03845369400975422
01:02.2;0.18743208046248888;-0.3554604242702989;-0.5971768569806053;0.596;0.03978672108625631
01:02.2;0.22024242732922766;-0.3303856583936872;-0.5557100908963892;0.58;0.040436211065477255
01:02.2;0.2513600202828337;-0.3072316602811009;-0.5269103990249869;0.665;0.04069105409854137
01:02.2;0.27859725199061247;-0.2866313199571591;-0.5111426093495978;0.665;0.04081713874262757
01:02.2;0.2998299800101664;-0.2690918422479172;-0.5080505739828892;0.725;0.04099043565456041
01:02.3;0.3132236200038521;-0.25491282788064323;-0.5167771510431985;0.747;0.04126192627330225
01:02.3;0.3174035996612786;-0.24414680148915632;-0.5361700190841007;0.752;0.041549462771611125
01:02.3;0.3115529011599389;-0.23660189259217732;-0.5649407321423989;0.746;0.04164404455100498
01:02.3;0.2954373770392924;-0.23188193515970804;-0.6017602518422035;0.715;0.041224543276321635
01:02.3;0.26937692442870786;-0.22945385480480365;-0.6452920686177107;0.6729999999999999;0.03988522767688439
01:02.3;0.2341890698143475;-0.2287237301984344;-0.6941865273290232;0.727;0.03718382200935375
01:02.3;0.19112465442493767;-0.22910146815997823;-0.7470760951440496;0.809;0.032712175354375705
01:02.3;0.1418034439636962;-0.2300401194560715;-0.8026025160425312;0.9520000000000001;0.026181280276561473
01:02.3;0.08815018750388724;-0.2310429275029898;-0.8594729619279239;0.9520000000000001;0.01750443663854482
