Time;AccX;AccY;AccZ;Acc-old;Acc-trns
15:57.4;-0.061238416488078276;-0.13353100225710993;-0.8413489657024342;0.853;0.006879901588384569
15:57.5;-0.05535754326923944;-0.13398716173877823;-0.8457217467270574;0.8540000000000001;0.006272887427336678
15:57.5;-0.04950586103725976;-0.13462393068249495;-0.8490744599827763;0.8540000000000001;0.005658804141835848
15:57.5;-0.04373719678251996;-0.13568437163054203;-0.8505660786547692;0.858;0.005047645320742334
15:57.5;-0.038128148716731806;-0.13746461217444667;-0.8494726575369418;0.877;0.004452316554982237
15:57.5;-0.03277917192493099;-0.14029763408652093;-0.8452564003551667;0.888;0.003887199171061911
15:57.5;-0.027809067347729026;-0.1445111695476181;-0.8376359644396298;0.893;0.003366225112028786
15:57.5;-0.023344559707998373;-0.15036839349199066;-0.8266448061481217;0.889;0.0029017579871636746
15:57.5;-0.019504573557009117;-0.15800813507671982;-0.8126615968540936;0.872;0.002504526573054565
15:57.5;-0.016379851640333763;-0.16740251918054366;-0.796399563615227;0.845;0.002183750243794669
15:57.5;-0.014013515562042667;-0.1783440516318312;-0.778848544393267;0.815;0.00194651942238728
15:57.6;-0.012391256978622754;-0.1904655493440396;-0.7611731142284222;0.728;0.0017964504270654128
15:57.6;-0.011445973687028104;-0.20328730362456665;-0.7445824979970646;0.728;0.0017325102880228003
15:57.6;-0.011073281679560369;-0.21627831398001002;-0.7301994392320172;0.728;0.0017487624442223053
15:57.6;-0.011149159744339788;-0.22891780279185708;-0.7189554655106619;0.7170000000000001;0.001834947725279769
15:57.6;-0.011542807500824932;-0.24074985715501387;-0.711527118621229;0.7240000000000001;0.0019772835270793414
15:57.6;-0.01212303323937523;-0.2514284681501604;-0.7083148296860298;0.742;0.0021589972038186835
15:57.6;-0.012760534063263848;-0.26074779884279703;-0.7094610073851528;0.762;0.0023605762500511123
15:57.6;-0.01332987163954384;-0.2686504509560494;-0.714900614663999;0.7759999999999999;0.0025601134529678366
15:57.6;-0.013713858048519623;-0.27521102522689045;-0.7244325339610129;0.7879999999999999;0.0027341568435542652
15:57.6;-0.01381064901487702;-0.2806004925374225;-0.7377972936449994;0.809;0.002859167345034124
15:57.7;-0.013542453646895413;-0.2850424250565031;-0.7547476332880059;0.863;0.0029134570613115153
15:57.7;-0.012865083854784857;-0.28877179935312697;-0.7750992855542915;0.863;0.0028795507486437917
15:57.7;-0.011777784220402593;-0.2920027043843593;-0.7987496469097092;0.863;0.0027470157298267227
15:57.7;-0.010332092550709658;-0.29490718299771035;-0.8256572522491812;0.872;0.002515784507660268
15:57.7;-0.008638148033748298;-0.2976055021895114;-0.8557868893478282;0.8809999999999999;0.0022000230319148576
15:57.7;-0.006867293998444348;-0.3001665247900448;-0.8890366126765945;0.898;0.0018325994181592475
15:57.7;-0.005249756471126962;-0.30261424646665874;-0.9251678816675217;0.927;0.001469768971640835
15:57.7;-0.004065074527054493;-0.3049344530741454;-0.9637591809639104;0.9690000000000001;0.0011946578368505045
15:57.7;-0.003622324094890884;-0.3070755648465852;-1.0041982929629993;1.023;0.0011169970930257798
15:57.7;-0.004228819550019891;-0.3089404467301234;-1.0457193015947106;1.084;0.0013661835379805143
15:57.8;-0.006149450151244288;-0.3103705096339022;-1.0874779796539165;1.228;0.0020755691472251385
15:57.8;-0.009561938599897596;-0.31112789900062837;-1.1286436678573921;1.228;0.0033576989607086776
15:57.8;-0.014514715034400534;-0.31088370375874996;-1.1684734669641614;1.228;0.005272606081694127
15:57.8;-0.020893783289022014;-0.3092190363911239;-1.2063399103458003;1.258;0.007793867253094904
15:57.8;-0.028403320475308844;-0.30564309959442687;-1.241706769803479;1.272;0.010779602791667783
15:57.8;-0.03656236636428852;-0.29963056772825;-1.2740682237060679;1.28;0.01395767550573583
15:57.8;-0.044718155425726665;-0.29068016718086326;-1.3028720041711728;1.2919999999999998;0.016935617429471743
15:57.8;-0.05207736523524694;-0.27839416561487634;-1.3274459291008944;1.307;0.019245357065603114
15:57.8;-0.05776025744352261;-0.26257109935470263;-1.3469470901513902;1.31;0.02042803433666725
15:57.8;-0.06088545515877978;-0.24329292467054464;-1.3603529965236532;1.305;0.020150909557114148
15:57.9;-0.06068745284439592;-0.22098139905994202;-1.36651158437451;1.3980000000000001;0.018326011143753193
15:57.9;-0.05665219019205441;-0.1964056476817506;-1.364256920945103;1.3980000000000001;0.015179827696871602
15:57.9;-0.048638373642826575;-0.1706391236957485;-1.3525781332480953;1.3980000000000001;0.011225870265223474
15:57.9;-0.03694877538722883;-0.14497312105112317;-1.330813038711684;1.421;0.007128605557904093
15:57.9;-0.02232864830433861;-0.12079199617685678;-1.298834739358689;1.421;0.0035031157506835364
15:57.9;-0.005887193901674847;-0.09941836158361471;-1.2571999069346393;1.391;0.0007358330358048584
15:57.9;0.01104503988369771;-0.08195079377925478;-1.2072250665129713;1.327;0.0010927195103576193
15:57.9;0.027096580799145734;-0.06912685869545676;-1.1509614216202821;1.232;0.0021558675791281115
15:57.9;0.04103932656156267;-0.06123968340155083;-1.0910561326649162;1.121;0.0027420808585150976
15:57.9;0.05194326071327311;-0.05812268402741864;-1.0305119895223767;1.008;0.0031111999198979953
15:58.0;0.05927682451008925;-0.0592025312739684;-0.9723801183850365;0.8059999999999999;0.0034124105552021805
15:58.0;0.06294261897544105;-0.06360606465268681;-0.91943951501507;0.8059999999999999;0.003681005788868102
15:58.0;0.06325302724706965;-0.07029444928136634;-0.873926404333565;0.8059999999999999;0.0038857710584185197
15:58.0;0.06085864488937458;-0.07819584104019536;-0.8373612701291752;0.785;0.003984912621316112
15:58.0;0.05664285364032867;-0.08631861974573805;-0.8104849378690838;0.778;0.003962730707900792
15:58.0;0.0515955280754483;-0.09383958566320641;-0.7932852938862817;0.7859999999999999;0.003840851768761238
15:58.0;0.04668181382706423;-0.10016631661539346;-0.7850884310374442;0.7959999999999999;0.003671030593724117
15:58.0;0.04272399162449241;-0.10497292940388753;-0.7846910216266636;0.807;0.0035192313814329562
15:58.0;0.04031218005406647;-0.1082086667308854;-0.7905137973092626;0.818;0.0034483217820132166
15:58.0;0.03975468943430658;-0.11008013637574394;-0.8007594574172727;0.8270000000000001;0.003504284846393857
15:58.1;0.041072564268272715;-0.1110104542013977;-0.8135628763503995;0.8640000000000001;0.0037094269296217863
15:58.1;0.044033963197137524;-0.1115815662901108;-0.8271248358122224;0.8640000000000001;0.004063977454158825
15:58.1;0.048214417262270985;-0.11246835995366962;-0.8398220643847112;0.8640000000000001;0.004554016132878759
15:58.1;0.053065947814488465;-0.11437287802563609;-0.8502893122865305;0.877;0.005160665324754393
15:58.1;0.057984167024252034;-0.11796359581998579;-0.8574746300308917;0.8809999999999999;0.005865144341589877
15:58.1;0.06237066233534326;-0.12382059307880557;-0.8606728198019481;0.879;0.00664678029912629
15:58.1;0.06569144211837707;-0.13238536302104256;-0.8595420450663278;0.879;0.007475080810311127
15:58.1;0.06753072809003276;-0.14391522766904727;-0.854107232599692;0.887;0.008300812053482666
15:58.1;0.06763505469713248;-0.1584463138168701;-0.8447517558473238;0.898;0.009052803396127285
15:58.1;0.06593913665212553;-0.17577348881057134;-0.8321942853982022;0.893;0.009645424782125694
15:58.2;0.06256688790018038;-0.19545693956586496;-0.8174432495820501;0.8240000000000001;0.00999662175080221
15:58.2;0.057808532181315986;-0.21685932913224606;-0.8017245039402213;0.8240000000000001;0.01005067453795366
15:58.2;0.052082016215960036;-0.23920665227786173;-0.7863891217611322;0.8240000000000001;0.009797122508749857
15:58.2;0.045887733900777876;-0.26166094841571513;-0.7728151608654109;0.8109999999999999;0.009279213254566474
15:58.2;0.039760413123496895;-0.28339768076272687;-0.7623127154296936;0.8029999999999999;0.008589746435643707
15:58.2;0.034217359216763076;-0.3036826027821282;-0.7560360817186608;0.809;0.007856134763659683
15:58.2;0.029702780554555077;-0.321936689209859;-0.7549083908320728;0.8109999999999999;0.007218747193339494
15:58.2;0.026532553547441624;-0.3377750294938433;-0.7595660072152215;0.809;0.006807256425228202
15:58.2;0.02484856581811874;-0.3510142359085357;-0.7703273962968322;0.82;0.006718949881026706
15:58.2;0.024593446178854846;-0.3616549788509725;-0.7871879451671304;0.847;0.007001519005441238
15:58.3;0.025513489546058248;-0.369850457315439;-0.8098406149248247;0.9159999999999999;0.007641798393235599
15:58.3;0.027190763535109172;-0.3758664396929457;-0.8377190109769566;0.9159999999999999;0.008561568279668398
15:58.3;0.029098790680577077;-0.3800322731446487;-0.8700544864324657;0.941;0.009621479761347184
15:58.3;0.030673794550660254;-0.3826826986279554;-0.9059384109055234;0.98;0.010634204457935689
15:58.3;0.03139371018327198;-0.38409634620499084;-0.9443854698003958;1.023;0.011387597725762238
15:58.3;0.030855297602180518;-0.38444112350473225;-0.9843965514535616;1.063;0.01167695646313158
15:58.3;0.02883615575320989;-0.3837349169317318;-1.0250183652871432;1.1;0.011342279048383079
15:58.3;0.02532858885562213;-0.3818251269489016;-1.0653960554450823;1.137;0.01030354290133464
15:58.3;0.020538430835905213;-0.378388026903029;-1.1048160407108798;1.179;0.008586073794310796
