time,gFx,gFy,gFz,acc
57:50.2,-0.416,-0.21,-1.604,1.67
57:50.2,-0.35,-0.198,-1.601,1.651
57:50.2,-0.25,-0.296,-1.463,1.513
57:50.2,-0.186,-0.421,-1.259,1.34
57:50.2,-0.142,-0.512,-1.082,1.205
57:50.2,0.02,-0.612,-0.711,0.938
57:50.2,0.02,-0.612,-0.711,0.938
57:50.2,0.02,-0.612,-0.711,0.938
57:50.2,0.071,-0.573,-0.65,0.869
57:50.2,0.106,-0.539,-0.606,0.818
57:50.3,0.117,-0.515,-0.578,0.783
57:50.3,0.114,-0.475,-0.541,0.729
57:50.3,0.111,-0.424,-0.51,0.672
57:50.3,0.106,-0.385,-0.483,0.627
57:50.3,0.109,-0.349,-0.464,0.591
57:50.3,0.155,-0.245,-0.29,0.41
57:50.3,0.155,-0.245,-0.29,0.41
57:50.3,0.155,-0.245,-0.29,0.41
57:50.3,0.177,-0.208,-0.244,0.366
57:50.3,0.205,-0.179,-0.249,0.369
57:50.4,0.247,-0.164,-0.33,0.444
57:50.4,0.296,-0.172,-0.468,0.58
57:50.4,0.337,-0.193,-0.62,0.732
57:50.4,0.363,-0.214,-0.788,0.894
57:50.4,0.445,-0.32,-0.917,1.068
57:50.4,0.257,-0.684,-1.133,1.348
57:50.4,0.257,-0.684,-1.133,1.348
57:50.4,0.257,-0.684,-1.133,1.348
57:50.4,0.054,-0.577,-1.28,1.405
57:50.4,-0.004,-0.588,-1.399,1.518
57:50.5,-0.023,-0.604,-1.385,1.511
57:50.5,0.007,-0.527,-1.267,1.372
57:50.5,0.118,-0.471,-1.176,1.272
57:50.5,0.258,-0.457,-1.176,1.288
57:50.5,0.331,-0.44,-1.237,1.354
57:50.5,0.12,-0.225,-1.322,1.346
57:50.5,0.12,-0.225,-1.322,1.346
57:50.5,0.12,-0.225,-1.322,1.346
57:50.5,0.007,-0.157,-1.265,1.275
57:50.5,-0.101,-0.087,-1.168,1.176
57:50.6,-0.187,-0.037,-1.04,1.057
57:50.6,-0.246,0,-0.905,0.938
57:50.6,-0.29,0.02,-0.793,0.845
57:50.6,-0.309,0.015,-0.679,0.746
57:50.6,-0.296,0.005,-0.592,0.662
57:50.6,-0.189,-0.092,-0.517,0.558
57:50.6,-0.189,-0.092,-0.517,0.558
57:50.6,-0.189,-0.092,-0.517,0.558
57:50.6,-0.165,-0.118,-0.53,0.567
57:50.7,-0.16,-0.128,-0.578,0.613
57:50.7,-0.163,-0.131,-0.649,0.682
57:50.7,-0.164,-0.14,-0.73,0.761
57:50.7,-0.148,-0.136,-0.824,0.848
57:50.7,-0.138,-0.107,-0.911,0.928
57:50.7,-0.158,-0.064,-0.956,0.971
57:50.7,-0.33,0.024,-0.907,0.965
57:50.7,-0.33,0.024,-0.907,0.965
57:50.7,-0.33,0.024,-0.907,0.965
57:50.7,-0.259,0.053,-0.824,0.865
57:50.8,-0.196,-0.016,-0.735,0.761
57:50.8,-0.158,-0.096,-0.68,0.705
57:50.8,-0.115,-0.101,-0.762,0.777
57:50.8,-0.036,0.018,-1.072,1.073
57:50.8,-0.025,0.047,-1.491,1.492
57:50.8,-0.225,-0.187,-1.952,1.974
57:50.8,-0.426,-0.017,-2.375,2.413
57:50.8,-0.426,-0.017,-2.375,2.413
57:50.8,-0.426,-0.017,-2.375,2.413
57:50.8,-0.45,0.005,-2.336,2.379
57:50.9,-0.464,-0.052,-2.121,2.172
57:50.9,-0.451,-0.22,-1.823,1.891
57:50.9,-0.425,-0.47,-1.486,1.615
57:50.9,-0.393,-0.656,-1.122,1.358
57:50.9,-0.303,-0.805,-0.813,1.184
57:50.9,-0.155,-0.92,-0.61,1.115
57:50.9,0.341,-0.951,-0.485,1.121
57:50.9,0.341,-0.951,-0.485,1.121
57:50.9,0.341,-0.951,-0.485,1.121
57:50.9,0.472,-0.877,-0.453,1.094
57:51.0,0.571,-0.79,-0.42,1.061
57:51.0,0.647,-0.723,-0.365,1.037
57:51.0,0.679,-0.677,-0.269,0.996
57:51.0,0.655,-0.654,-0.187,0.944
57:51.0,0.636,-0.689,-0.195,0.958
57:51.0,0.632,-0.787,-0.285,1.049
57:51.0,0.257,-0.128,-0.605,0.67
57:51.0,0.257,-0.128,-0.605,0.67
57:51.0,0.257,-0.128,-0.605,0.67
57:51.0,0.064,0.069,-0.796,0.802
57:51.1,-0.092,0.121,-1.021,1.032
57:51.1,-0.203,0.139,-1.185,1.21
57:51.1,-0.199,0.102,-1.208,1.229
57:51.1,-0.12,-0.007,-1.274,1.28
57:51.1,0.017,-0.115,-1.304,1.309
57:51.1,0.19,-0.3,-1.25,1.299
57:51.1,-0.069,-0.66,-1.015,1.213
57:51.1,-0.069,-0.66,-1.015,1.213
57:51.1,-0.069,-0.66,-1.015,1.213
57:51.1,-0.269,-0.55,-0.94,1.122
57:51.2,-0.36,-0.477,-0.998,1.163
57:51.2,-0.361,-0.521,-1.086,1.257
57:51.2,-0.355,-0.517,-1.153,1.313
57:51.2,-0.344,-0.442,-1.11,1.243
57:51.2,-0.313,-0.409,-1.037,1.158
57:51.2,-0.295,-0.375,-0.926,1.042
57:51.2,-0.339,-0.245,-0.619,0.747
57:51.2,-0.339,-0.245,-0.619,0.747
57:51.2,-0.339,-0.245,-0.619,0.747
