time,gFx,gFy,gFz
2020-12-09 23:8:11.6340,0.184,-0.026,-1.394,1.406
2020-12-09 23:8:11.6410,0.175,-0.196,-1.273,1.3
2020-12-09 23:8:11.6510,0.124,-0.323,-1.145,1.196
2020-12-09 23:8:11.6610,0.125,-0.417,-1.156,1.235
2020-12-09 23:8:11.6710,0.072,-0.422,-1.217,1.29
2020-12-09 23:8:11.6810,-0.02,-0.324,-1.184,1.228
2020-12-09 23:8:11.6920,-0.09,-0.211,-1.17,1.192
2020-12-09 23:8:11.7210,-0.08,0.043,-1.208,1.211
2020-12-09 23:8:11.7210,-0.08,0.043,-1.208,1.211
2020-12-09 23:8:11.7220,-0.08,0.043,-1.208,1.211
2020-12-09 23:8:11.7310,-0.047,0.063,-1.171,1.174
2020-12-09 23:8:11.7410,-0.003,0.068,-1.118,1.12
2020-12-09 23:8:11.7530,0.028,0.059,-1.043,1.045
2020-12-09 23:8:11.7620,0.023,0.046,-0.958,0.959
2020-12-09 23:8:11.7720,0.007,0.029,-0.843,0.844
2020-12-09 23:8:11.7820,0.008,0.013,-0.76,0.76
2020-12-09 23:8:11.7930,0.002,-0.004,-0.68,0.68
2020-12-09 23:8:11.8260,-0.103,-0.054,-0.365,0.383
2020-12-09 23:8:11.8260,-0.103,-0.054,-0.365,0.383
2020-12-09 23:8:11.8260,-0.103,-0.054,-0.365,0.383
2020-12-09 23:8:11.8310,-0.103,-0.058,-0.438,0.454
2020-12-09 23:8:11.8420,-0.103,-0.035,-0.523,0.534
2020-12-09 23:8:11.8520,-0.109,0.022,-0.593,0.603
2020-12-09 23:8:11.8620,-0.12,0.076,-0.687,0.702
2020-12-09 23:8:11.8720,-0.123,0.105,-0.761,0.778
2020-12-09 23:8:11.8830,-0.124,0.167,-0.824,0.85
2020-12-09 23:8:11.8930,-0.14,0.213,-1.003,1.035
2020-12-09 23:8:11.9270,-0.062,-0.067,-0.945,0.949
2020-12-09 23:8:11.9270,-0.062,-0.067,-0.945,0.949
2020-12-09 23:8:11.9270,-0.062,-0.067,-0.945,0.949
2020-12-09 23:8:11.9310,-0.05,-0.14,-0.825,0.838
2020-12-09 23:8:11.9420,-0.027,-0.259,-0.865,0.903
2020-12-09 23:8:11.9520,-0.048,-0.334,-1.047,1.1
2020-12-09 23:8:11.9630,-0.052,-0.339,-1.255,1.301
2020-12-09 23:8:11.9730,-0.113,-0.215,-1.403,1.424
2020-12-09 23:8:11.9830,-0.109,-0.113,-1.448,1.456
2020-12-09 23:8:11.9930,-0.043,-0.087,-1.439,1.442
2020-12-09 23:8:12.0240,0.097,-0.061,-1.456,1.461
2020-12-09 23:8:12.0240,0.097,-0.061,-1.456,1.461
2020-12-09 23:8:12.0240,0.097,-0.061,-1.456,1.461
2020-12-09 23:8:12.0320,0.115,-0.117,-1.39,1.4
2020-12-09 23:8:12.0420,0.12,-0.204,-1.261,1.283
2020-12-09 23:8:12.0520,0.113,-0.281,-1.098,1.139
2020-12-09 23:8:12.0630,0.111,-0.345,-0.971,1.036
2020-12-09 23:8:12.0730,0.124,-0.388,-0.852,0.944
2020-12-09 23:8:12.0830,0.167,-0.409,-0.723,0.847
2020-12-09 23:8:12.0930,0.218,-0.428,-0.624,0.787
2020-12-09 23:8:12.1330,0.277,-0.474,-0.413,0.687
2020-12-09 23:8:12.1330,0.277,-0.474,-0.413,0.687
2020-12-09 23:8:12.1330,0.277,-0.474,-0.413,0.687
2020-12-09 23:8:12.1330,0.277,-0.474,-0.413,0.687
2020-12-09 23:8:12.1420,0.288,-0.446,-0.478,0.714
2020-12-09 23:8:12.1530,0.29,-0.395,-0.533,0.724
2020-12-09 23:8:12.1630,0.284,-0.343,-0.552,0.709
2020-12-09 23:8:12.1730,0.262,-0.293,-0.555,0.68
2020-12-09 23:8:12.1830,0.231,-0.243,-0.541,0.636
2020-12-09 23:8:12.1930,0.208,-0.197,-0.523,0.596
2020-12-09 23:8:12.2320,0.127,-0.023,-0.652,0.665
2020-12-09 23:8:12.2320,0.125,0.008,-0.715,0.726
2020-12-09 23:8:12.2320,0.125,0.008,-0.715,0.726
2020-12-09 23:8:12.2330,0.125,0.008,-0.715,0.726
2020-12-09 23:8:12.2420,0.16,-0.011,-0.777,0.793
2020-12-09 23:8:12.2540,0.227,-0.115,-0.82,0.859
2020-12-09 23:8:12.2630,0.23,-0.202,-0.868,0.92
2020-12-09 23:8:12.2730,0.164,-0.203,-0.936,0.972
2020-12-09 23:8:12.2830,0.084,-0.19,-1.03,1.051
2020-12-09 23:8:12.2930,0.093,-0.235,-1.243,1.268
2020-12-09 23:8:12.3300,0.146,-0.287,-1.597,1.629
2020-12-09 23:8:12.3300,0.146,-0.287,-1.597,1.629
2020-12-09 23:8:12.3300,0.146,-0.287,-1.597,1.629
2020-12-09 23:8:12.3320,0.131,-0.294,-1.638,1.669
2020-12-09 23:8:12.3430,0.158,-0.3,-1.726,1.759
2020-12-09 23:8:12.3530,0.185,-0.342,-1.836,1.877
2020-12-09 23:8:12.3640,0.176,-0.407,-1.967,2.016
2020-12-09 23:8:12.3740,0.112,-0.453,-2.045,2.098
2020-12-09 23:8:12.3850,0.013,-0.463,-2.043,2.095
2020-12-09 23:8:12.3950,-0.072,-0.434,-1.974,2.022
2020-12-09 23:8:12.4240,-0.115,-0.344,-1.275,1.326
2020-12-09 23:8:12.4250,-0.115,-0.344,-1.275,1.326
2020-12-09 23:8:12.4250,-0.115,-0.344,-1.275,1.326
2020-12-09 23:8:12.4330,-0.114,-0.363,-1.029,1.097
2020-12-09 23:8:12.4430,-0.164,-0.404,-0.804,0.915
2020-12-09 23:8:12.4540,-0.237,-0.384,-0.642,0.785
2020-12-09 23:8:12.4640,-0.291,-0.359,-0.488,0.672
2020-12-09 23:8:12.4740,-0.355,-0.341,-0.345,0.601
2020-12-09 23:8:12.4840,-0.37,-0.293,-0.242,0.53
2020-12-09 23:8:12.4940,-0.351,-0.238,-0.11,0.438
2020-12-09 23:8:12.5300,-0.249,-0.136,-0.164,0.328
2020-12-09 23:8:12.5300,-0.249,-0.136,-0.164,0.328
2020-12-09 23:8:12.5300,-0.249,-0.136,-0.164,0.328
2020-12-09 23:8:12.5330,-0.199,-0.124,-0.281,0.366
2020-12-09 23:8:12.5430,-0.182,-0.116,-0.424,0.476
2020-12-09 23:8:12.5530,-0.209,-0.133,-0.644,0.69
2020-12-09 23:8:12.5640,-0.235,-0.141,-0.824,0.868
2020-12-09 23:8:12.5740,-0.302,-0.153,-0.95,1.009
2020-12-09 23:8:12.5840,-0.385,-0.176,-0.998,1.084
2020-12-09 23:8:12.5940,-0.447,-0.218,-0.965,1.086
2020-12-09 23:8:12.6280,-0.581,-0.327,-0.528,0.85
2020-12-09 23:8:12.6290,-0.581,-0.327,-0.528,0.85
2020-12-09 23:8:12.6290,-0.581,-0.327,-0.528,0.85
2020-12-09 23:8:12.6330,-0.491,-0.544,-0.524,0.901
2020-12-09 23:8:12.6430,-0.445,-0.714,-0.816,1.172
2020-12-09 23:8:12.6530,-0.44,-0.79,-1.221,1.519
2020-12-09 23:8:12.6640,-0.505,-0.715,-1.579,1.805
2020-12-09 23:8:12.6740,-0.562,-0.625,-1.753,1.944
2020-12-09 23:8:12.6840,-0.58,-0.612,-1.755,1.947
2020-12-09 23:8:12.6940,-0.581,-0.642,-1.697,1.905
2020-12-09 23:8:12.7250,-0.579,-0.864,-1.147,1.548
2020-12-09 23:8:12.7250,-0.579,-0.864,-1.147,1.548
2020-12-09 23:8:12.7250,-0.579,-0.864,-1.147,1.548
2020-12-09 23:8:12.7330,-0.522,-0.937,-0.902,1.401
2020-12-09 23:8:12.7440,-0.401,-0.966,-0.652,1.233
2020-12-09 23:8:12.7530,-0.256,-0.972,-0.465,1.107
2020-12-09 23:8:12.7650,-0.085,-0.958,-0.343,1.021
