time,gFx,gFy,gFz
2020-12-10 13:55:22.2450,0.032,-0.245,-1.001,1.031
2020-12-10 13:55:22.2450,0.032,-0.245,-1.001,1.031
2020-12-10 13:55:22.2590,0.016,-0.235,-1.035,1.061
2020-12-10 13:55:22.2650,0.002,-0.223,-1.052,1.075
2020-12-10 13:55:22.2770,-0.01,-0.212,-1.051,1.072
2020-12-10 13:55:22.2850,-0.016,-0.205,-1.032,1.052
2020-12-10 13:55:22.2950,-0.016,-0.204,-1.003,1.024
2020-12-10 13:55:22.3050,-0.007,-0.206,-0.976,0.998
2020-12-10 13:55:22.3150,0.003,-0.213,-0.951,0.975
2020-12-10 13:55:22.3250,0.012,-0.219,-0.935,0.96
2020-12-10 13:55:22.3380,0.017,-0.225,-0.928,0.955
2020-12-10 13:55:22.3540,0.013,-0.23,-0.93,0.958
2020-12-10 13:55:22.3550,0.003,-0.232,-0.939,0.967
2020-12-10 13:55:22.3660,-0.009,-0.233,-0.948,0.976
2020-12-10 13:55:22.3760,-0.02,-0.231,-0.956,0.984
2020-12-10 13:55:22.3850,-0.026,-0.227,-0.961,0.988
2020-12-10 13:55:22.3960,-0.019,-0.222,-0.951,0.977
2020-12-10 13:55:22.4060,0.016,-0.22,-0.935,0.961
2020-12-10 13:55:22.4160,0.023,-0.222,-0.947,0.973
2020-12-10 13:55:22.4260,0.034,-0.213,-0.998,1.021
2020-12-10 13:55:22.4540,-0.009,-0.245,-0.951,0.982
2020-12-10 13:55:22.4540,-0.009,-0.245,-0.951,0.982
2020-12-10 13:55:22.4560,-0.008,-0.239,-0.936,0.966
2020-12-10 13:55:22.4660,0.004,-0.226,-0.935,0.962
2020-12-10 13:55:22.4760,0.016,-0.222,-0.943,0.969
2020-12-10 13:55:22.4860,0.017,-0.226,-0.955,0.982
2020-12-10 13:55:22.4960,0.017,-0.233,-0.962,0.99
2020-12-10 13:55:22.5060,0.017,-0.236,-0.963,0.992
2020-12-10 13:55:22.5160,0.023,-0.233,-0.957,0.985
2020-12-10 13:55:22.5270,0.033,-0.227,-0.951,0.978
2020-12-10 13:55:22.5400,0.042,-0.22,-0.943,0.969
2020-12-10 13:55:22.5580,0.059,-0.201,-0.938,0.961
2020-12-10 13:55:22.5590,0.059,-0.201,-0.938,0.961
2020-12-10 13:55:22.5660,0.07,-0.197,-0.942,0.965
2020-12-10 13:55:22.5760,0.074,-0.201,-0.953,0.977
2020-12-10 13:55:22.5860,0.07,-0.207,-0.961,0.986
2020-12-10 13:55:22.5960,0.061,-0.214,-0.967,0.992
2020-12-10 13:55:22.6070,0.051,-0.219,-0.973,0.999
2020-12-10 13:55:22.6170,0.042,-0.221,-0.977,1.003
2020-12-10 13:55:22.6270,0.033,-0.22,-0.985,1.01
2020-12-10 13:55:22.6550,0.025,-0.21,-1.002,1.024
2020-12-10 13:55:22.6560,0.025,-0.21,-1.002,1.024
2020-12-10 13:55:22.6570,0.025,-0.21,-1.002,1.024
2020-12-10 13:55:22.6660,0.03,-0.207,-1.006,1.028
2020-12-10 13:55:22.6760,0.029,-0.205,-1.012,1.033
2020-12-10 13:55:22.6860,0.027,-0.205,-1.018,1.039
2020-12-10 13:55:22.6960,0.03,-0.2,-1.023,1.043
2020-12-10 13:55:22.7060,0.03,-0.195,-1.021,1.04
2020-12-10 13:55:22.7170,0.026,-0.193,-1.018,1.036
2020-12-10 13:55:22.7270,0.022,-0.195,-1.011,1.03
2020-12-10 13:55:22.7410,0.025,-0.197,-1.0,1.02
2020-12-10 13:55:22.7590,0.034,-0.199,-0.982,1.003
2020-12-10 13:55:22.7600,0.034,-0.199,-0.982,1.003
2020-12-10 13:55:22.7660,0.036,-0.206,-0.982,1.004
2020-12-10 13:55:22.7790,0.036,-0.208,-0.981,1.003
2020-12-10 13:55:22.7860,0.032,-0.208,-0.978,1.0
2020-12-10 13:55:22.7970,0.025,-0.209,-0.973,0.996
2020-12-10 13:55:22.8070,0.021,-0.21,-0.966,0.989
2020-12-10 13:55:22.8170,0.022,-0.212,-0.957,0.98
2020-12-10 13:55:22.8270,0.028,-0.215,-0.951,0.975
2020-12-10 13:55:22.8580,0.045,-0.225,-0.951,0.978
2020-12-10 13:55:22.8580,0.045,-0.225,-0.951,0.978
2020-12-10 13:55:22.8580,0.045,-0.225,-0.951,0.978
2020-12-10 13:55:22.8660,0.046,-0.227,-0.955,0.983
2020-12-10 13:55:22.8760,0.04,-0.227,-0.953,0.98
2020-12-10 13:55:22.8870,0.032,-0.226,-0.95,0.977
2020-12-10 13:55:22.8970,0.024,-0.225,-0.945,0.972
2020-12-10 13:55:22.9070,0.016,-0.227,-0.943,0.97
2020-12-10 13:55:22.9170,0.009,-0.23,-0.945,0.973
2020-12-10 13:55:22.9270,0.008,-0.232,-0.95,0.978
2020-12-10 13:55:22.9410,0.01,-0.234,-0.959,0.987
2020-12-10 13:55:22.9590,0.012,-0.238,-0.974,1.003
2020-12-10 13:55:22.9590,0.012,-0.238,-0.974,1.003
2020-12-10 13:55:22.9670,0.011,-0.239,-0.976,1.005
2020-12-10 13:55:22.9790,0.006,-0.241,-0.974,1.003
2020-12-10 13:55:22.9870,0.002,-0.245,-0.975,1.005
2020-12-10 13:55:22.9970,0.004,-0.246,-0.977,1.008
2020-12-10 13:55:23.0070,0.004,-0.251,-0.981,1.013
2020-12-10 13:55:23.0170,0.009,-0.252,-0.989,1.021
2020-12-10 13:55:23.0270,0.011,-0.25,-0.995,1.026
2020-12-10 13:55:23.0410,0.013,-0.245,-0.999,1.029
2020-12-10 13:55:23.0600,0.011,-0.24,-0.996,1.025
2020-12-10 13:55:23.0600,0.011,-0.24,-0.996,1.025
2020-12-10 13:55:23.0660,0.01,-0.24,-0.996,1.025
2020-12-10 13:55:23.0770,0.011,-0.234,-0.993,1.02
2020-12-10 13:55:23.0870,0.016,-0.227,-0.995,1.021
2020-12-10 13:55:23.0970,0.023,-0.223,-1.002,1.027
2020-12-10 13:55:23.1070,0.031,-0.219,-1.005,1.029
2020-12-10 13:55:23.1170,0.037,-0.215,-1.006,1.029
2020-12-10 13:55:23.1280,0.04,-0.213,-1.005,1.028
2020-12-10 13:55:23.1410,0.038,-0.213,-1.0,1.023
2020-12-10 13:55:23.1580,0.04,-0.215,-0.981,1.005
