time,gFx,gFy,gFz,acc
59:23.4,0.125,-0.352,-0.846,0.925
59:23.4,0.129,-0.362,-0.868,0.949
59:23.4,0.137,-0.369,-0.894,0.977
59:23.5,0.144,-0.376,-0.923,1.007
59:23.5,0.156,-0.374,-0.952,1.035
59:23.5,0.164,-0.362,-0.972,1.05
59:23.5,0.162,-0.351,-0.979,1.053
59:23.5,0.126,-0.325,-0.943,1.005
59:23.5,0.126,-0.325,-0.943,1.005
59:23.5,0.126,-0.325,-0.943,1.005
59:23.5,0.116,-0.321,-0.931,0.992
59:23.5,0.102,-0.324,-0.923,0.984
59:23.5,0.095,-0.326,-0.918,0.979
59:23.6,0.093,-0.326,-0.917,0.978
59:23.6,0.094,-0.327,-0.917,0.978
59:23.6,0.096,-0.33,-0.92,0.982
59:23.6,0.101,-0.332,-0.928,0.991
59:23.6,0.138,-0.337,-0.957,1.024
59:23.6,0.138,-0.337,-0.957,1.024
59:23.6,0.138,-0.337,-0.957,1.024
59:23.6,0.143,-0.339,-0.957,1.025
59:23.6,0.143,-0.339,-0.951,1.02
59:23.6,0.141,-0.341,-0.94,1.01
59:23.7,0.133,-0.342,-0.926,0.996
59:23.7,0.125,-0.344,-0.915,0.985
59:23.7,0.119,-0.345,-0.909,0.98
59:23.7,0.116,-0.345,-0.908,0.978
59:23.7,0.115,-0.342,-0.923,0.991
59:23.7,0.115,-0.342,-0.923,0.991
59:23.7,0.115,-0.342,-0.923,0.991
59:23.7,0.12,-0.342,-0.931,0.999
59:23.7,0.124,-0.339,-0.939,1.006
59:23.7,0.126,-0.336,-0.941,1.007
59:23.8,0.125,-0.334,-0.941,1.006
59:23.8,0.124,-0.333,-0.94,1.005
59:23.8,0.122,-0.331,-0.936,1
59:23.8,0.12,-0.332,-0.936,1
59:23.8,0.115,-0.333,-0.928,0.993
59:23.8,0.115,-0.333,-0.928,0.993
59:23.8,0.115,-0.333,-0.928,0.993
59:23.8,0.114,-0.334,-0.924,0.989
59:23.8,0.114,-0.335,-0.925,0.99
59:23.8,0.117,-0.335,-0.927,0.993
59:23.9,0.12,-0.337,-0.932,0.998
59:23.9,0.122,-0.334,-0.936,1.001
59:23.9,0.124,-0.334,-0.936,1.002
59:23.9,0.124,-0.334,-0.937,1.002
