time,gFx,gFy,gFz,acc
16:45.0,0.007,-0.164,-1.274,1.285
16:45.0,-0.009,-0.178,-1.257,1.27
16:45.0,0.001,-0.206,-1.275,1.292
16:45.0,0.007,-0.201,-1.308,1.323
16:45.1,-0.005,-0.09,-1.286,1.289
16:45.1,-0.005,-0.09,-1.286,1.289
16:45.1,-0.005,-0.09,-1.286,1.289
16:45.1,0.001,-0.063,-1.25,1.252
16:45.1,0.004,-0.038,-1.193,1.194
16:45.1,-0.001,-0.014,-1.122,1.122
16:45.1,-0.009,-0.002,-1.053,1.053
16:45.1,-0.007,0,-0.998,0.998
16:45.1,0.002,-0.001,-0.959,0.959
16:45.1,0.017,-0.005,-0.939,0.939
16:45.2,0.023,-0.051,-0.89,0.892
16:45.2,0.023,-0.051,-0.89,0.892
16:45.2,0.023,-0.051,-0.89,0.892
16:45.2,0.007,-0.073,-0.863,0.866
16:45.2,-0.008,-0.096,-0.832,0.838
16:45.2,-0.02,-0.118,-0.802,0.811
16:45.2,-0.032,-0.139,-0.78,0.793
16:45.2,-0.04,-0.156,-0.768,0.785
16:45.2,-0.046,-0.165,-0.768,0.787
16:45.2,-0.051,-0.165,-0.776,0.795
16:45.3,-0.041,-0.142,-0.842,0.855
16:45.3,-0.041,-0.142,-0.842,0.855
16:45.3,-0.041,-0.142,-0.842,0.855
16:45.3,-0.035,-0.135,-0.857,0.868
16:45.3,-0.033,-0.137,-0.86,0.871
16:45.3,-0.033,-0.147,-0.853,0.866
16:45.3,-0.035,-0.164,-0.837,0.854
16:45.3,-0.042,-0.181,-0.818,0.839
16:45.3,-0.046,-0.195,-0.797,0.822
16:45.3,-0.045,-0.211,-0.782,0.811
16:45.4,-0.015,-0.249,-0.796,0.834
16:45.4,-0.015,-0.249,-0.796,0.834
16:45.4,-0.015,-0.249,-0.796,0.834
16:45.4,-0.013,-0.248,-0.811,0.848
16:45.4,-0.017,-0.247,-0.829,0.865
16:45.4,-0.014,-0.248,-0.85,0.886
16:45.4,-0.007,-0.25,-0.877,0.912
16:45.4,0.002,-0.252,-0.911,0.945
16:45.4,0.006,-0.256,-0.951,0.985
16:45.4,0.004,-0.25,-1.003,1.034
16:45.5,-0.011,-0.225,-1.143,1.165
16:45.5,-0.011,-0.225,-1.143,1.165
16:45.5,-0.011,-0.225,-1.143,1.165
16:45.5,-0.003,-0.21,-1.182,1.201
16:45.5,0.011,-0.193,-1.212,1.227
16:45.5,0.022,-0.177,-1.228,1.241
16:45.5,0.024,-0.166,-1.228,1.239
16:45.5,0.027,-0.167,-1.218,1.23
16:45.5,0.039,-0.197,-1.207,1.224
16:45.5,0.044,-0.234,-1.182,1.206
16:45.6,-0.059,-0.227,-1.114,1.138
16:45.6,-0.059,-0.227,-1.114,1.138
16:45.6,-0.059,-0.227,-1.114,1.138
16:45.6,-0.082,-0.228,-1.126,1.152
16:45.6,-0.1,-0.204,-1.156,1.178
16:45.6,-0.112,-0.166,-1.189,1.206
16:45.6,-0.122,-0.12,-1.212,1.224
16:45.6,-0.122,-0.077,-1.231,1.239
16:45.6,-0.095,-0.05,-1.262,1.267
16:45.6,-0.061,-0.022,-1.288,1.29
16:45.7,0.03,0.092,-1.197,1.201
16:45.7,0.03,0.092,-1.197,1.201
16:45.7,0.03,0.092,-1.197,1.201
16:45.7,0.059,0.082,-1.138,1.142
16:45.7,0.073,0.06,-1.078,1.082
16:45.7,0.063,0.035,-1.018,1.021
