time,gFx,gFy,gFz
2020-12-10 13:18:13.0880,0.001,-0.265,-0.903,0.941
2020-12-10 13:18:13.1220,0.055,-0.295,-0.937,0.984
2020-12-10 13:18:13.1220,0.055,-0.295,-0.937,0.984
2020-12-10 13:18:13.1220,0.055,-0.295,-0.937,0.984
2020-12-10 13:18:13.1280,0.056,-0.303,-0.962,1.01
2020-12-10 13:18:13.1380,0.042,-0.295,-0.999,1.042
2020-12-10 13:18:13.1480,0.03,-0.292,-1.039,1.08
2020-12-10 13:18:13.1580,0.022,-0.301,-1.078,1.119
2020-12-10 13:18:13.1680,0.012,-0.315,-1.115,1.159
2020-12-10 13:18:13.1780,-0.003,-0.334,-1.151,1.198
2020-12-10 13:18:13.1880,-0.022,-0.358,-1.189,1.242
2020-12-10 13:18:13.2200,-0.092,-0.331,-1.246,1.292
2020-12-10 13:18:13.2210,-0.092,-0.331,-1.246,1.292
2020-12-10 13:18:13.2210,-0.092,-0.331,-1.246,1.292
2020-12-10 13:18:13.2280,-0.098,-0.312,-1.253,1.295
2020-12-10 13:18:13.2380,-0.083,-0.289,-1.266,1.301
2020-12-10 13:18:13.2480,-0.059,-0.256,-1.289,1.315
2020-12-10 13:18:13.2590,-0.045,-0.22,-1.303,1.322
2020-12-10 13:18:13.2690,-0.044,-0.174,-1.291,1.303
2020-12-10 13:18:13.2790,-0.042,-0.141,-1.269,1.277
2020-12-10 13:18:13.2880,-0.025,-0.125,-1.246,1.253
2020-12-10 13:18:13.3230,0.013,-0.088,-1.129,1.132
2020-12-10 13:18:13.3230,0.013,-0.088,-1.129,1.132
2020-12-10 13:18:13.3230,0.013,-0.088,-1.129,1.132
2020-12-10 13:18:13.3280,0.017,-0.078,-1.073,1.076
2020-12-10 13:18:13.3380,0.031,-0.077,-1.021,1.024
2020-12-10 13:18:13.3490,0.047,-0.085,-0.973,0.978
2020-12-10 13:18:13.3590,0.058,-0.098,-0.934,0.941
2020-12-10 13:18:13.3690,0.062,-0.113,-0.893,0.902
2020-12-10 13:18:13.3790,0.061,-0.134,-0.855,0.868
2020-12-10 13:18:13.3890,0.059,-0.162,-0.823,0.841
2020-12-10 13:18:13.4190,0.016,-0.239,-0.786,0.822
2020-12-10 13:18:13.4190,0.016,-0.239,-0.786,0.822
2020-12-10 13:18:13.4200,0.016,-0.239,-0.786,0.822
2020-12-10 13:18:13.4280,-0.025,-0.254,-0.753,0.795
2020-12-10 13:18:13.4380,-0.053,-0.267,-0.735,0.784
2020-12-10 13:18:13.4480,-0.075,-0.266,-0.726,0.777
2020-12-10 13:18:13.4580,-0.098,-0.26,-0.729,0.78
2020-12-10 13:18:13.4680,-0.104,-0.247,-0.753,0.799
2020-12-10 13:18:13.4780,-0.079,-0.223,-0.793,0.828
2020-12-10 13:18:13.4880,-0.035,-0.197,-0.838,0.862
2020-12-10 13:18:13.5040,0.012,-0.18,-0.881,0.899
2020-12-10 13:18:13.5080,0.042,-0.168,-0.907,0.923
2020-12-10 13:18:13.5180,0.047,-0.159,-0.91,0.925
2020-12-10 13:18:13.5280,0.042,-0.169,-0.913,0.929
2020-12-10 13:18:13.5380,0.031,-0.198,-0.908,0.93
2020-12-10 13:18:13.5480,0.003,-0.222,-0.881,0.909
2020-12-10 13:18:13.5580,-0.023,-0.243,-0.846,0.881
2020-12-10 13:18:13.5680,-0.029,-0.272,-0.816,0.861
2020-12-10 13:18:13.5780,-0.018,-0.301,-0.797,0.852
2020-12-10 13:18:13.5880,-0.017,-0.319,-0.787,0.849
2020-12-10 13:18:13.6060,-0.027,-0.323,-0.784,0.848
2020-12-10 13:18:13.6090,-0.039,-0.328,-0.79,0.856
2020-12-10 13:18:13.6180,-0.054,-0.334,-0.817,0.884
2020-12-10 13:18:13.6280,-0.069,-0.339,-0.857,0.924
2020-12-10 13:18:13.6390,-0.081,-0.344,-0.896,0.963
2020-12-10 13:18:13.6490,-0.088,-0.348,-0.929,0.996
2020-12-10 13:18:13.6590,-0.082,-0.346,-0.955,1.019
2020-12-10 13:18:13.6690,-0.069,-0.344,-0.974,1.035
2020-12-10 13:18:13.6790,-0.05,-0.343,-0.989,1.048
