time,gFx,gFy,gFz
2020-12-09 22:55:05.1690,-0.081,-0.337,-1.009,1.067
2020-12-09 22:55:05.1780,-0.071,-0.274,-1.108,1.144
2020-12-09 22:55:05.1890,-0.058,-0.222,-1.167,1.189
2020-12-09 22:55:05.2210,-0.031,-0.142,-1.087,1.097
2020-12-09 22:55:05.2210,-0.031,-0.142,-1.087,1.097
2020-12-09 22:55:05.2210,-0.031,-0.142,-1.087,1.097
2020-12-09 22:55:05.2270,-0.01,-0.145,-1.029,1.039
2020-12-09 22:55:05.2370,0.016,-0.159,-0.961,0.974
2020-12-09 22:55:05.2470,0.031,-0.174,-0.889,0.906
2020-12-09 22:55:05.2570,0.043,-0.192,-0.834,0.857
2020-12-09 22:55:05.2680,0.054,-0.214,-0.79,0.82
2020-12-09 22:55:05.2790,0.052,-0.221,-0.757,0.79
2020-12-09 22:55:05.2880,0.042,-0.222,-0.758,0.791
2020-12-09 22:55:05.3230,0.006,-0.195,-0.841,0.863
2020-12-09 22:55:05.3240,0.006,-0.195,-0.841,0.863
2020-12-09 22:55:05.3240,0.006,-0.195,-0.841,0.863
2020-12-09 22:55:05.3270,-0.007,-0.181,-0.858,0.877
2020-12-09 22:55:05.3370,-0.018,-0.17,-0.872,0.889
2020-12-09 22:55:05.3470,-0.035,-0.167,-0.879,0.895
2020-12-09 22:55:05.3580,-0.057,-0.173,-0.891,0.909
2020-12-09 22:55:05.3690,-0.075,-0.196,-0.916,0.94
2020-12-09 22:55:05.3780,-0.09,-0.218,-0.903,0.933
2020-12-09 22:55:05.3890,-0.114,-0.222,-0.859,0.895
2020-12-09 22:55:05.4240,-0.114,-0.26,-0.918,0.961
2020-12-09 22:55:05.4250,-0.114,-0.26,-0.918,0.961
2020-12-09 22:55:05.4250,-0.114,-0.26,-0.918,0.961
2020-12-09 22:55:05.4280,-0.073,-0.268,-0.924,0.965
2020-12-09 22:55:05.4380,-0.036,-0.286,-0.923,0.967
2020-12-09 22:55:05.4480,-0.016,-0.303,-0.875,0.926
2020-12-09 22:55:05.4580,-0.002,-0.31,-0.815,0.872
2020-12-09 22:55:05.4690,0.014,-0.316,-0.778,0.84
2020-12-09 22:55:05.4790,0.031,-0.333,-0.761,0.831
2020-12-09 22:55:05.4890,0.048,-0.354,-0.761,0.841
2020-12-09 22:55:05.5220,0.032,-0.398,-0.755,0.854
2020-12-09 22:55:05.5230,0.032,-0.398,-0.755,0.854
2020-12-09 22:55:05.5230,0.032,-0.398,-0.755,0.854
2020-12-09 22:55:05.5280,0.02,-0.418,-0.726,0.838
2020-12-09 22:55:05.5380,0.008,-0.436,-0.697,0.822
2020-12-09 22:55:05.5480,0.001,-0.45,-0.688,0.822
2020-12-09 22:55:05.5580,0.001,-0.464,-0.682,0.825
2020-12-09 22:55:05.5690,0.011,-0.475,-0.668,0.82
2020-12-09 22:55:05.5790,0.022,-0.484,-0.678,0.833
2020-12-09 22:55:05.5890,0.033,-0.489,-0.699,0.854
2020-12-09 22:55:05.6250,0.078,-0.491,-0.791,0.934
2020-12-09 22:55:05.6250,0.078,-0.491,-0.791,0.934
2020-12-09 22:55:05.6260,0.078,-0.491,-0.791,0.934
2020-12-09 22:55:05.6280,0.089,-0.48,-0.8,0.937
2020-12-09 22:55:05.6380,0.067,-0.466,-0.808,0.935
2020-12-09 22:55:05.6480,0.042,-0.465,-0.825,0.948
2020-12-09 22:55:05.6580,0.067,-0.456,-0.819,0.94
2020-12-09 22:55:05.6690,0.049,-0.439,-0.801,0.915
2020-12-09 22:55:05.6790,0.033,-0.433,-0.805,0.915
2020-12-09 22:55:05.6890,0.039,-0.433,-0.796,0.907
2020-12-09 22:55:05.7270,0.065,-0.411,-0.784,0.888
2020-12-09 22:55:05.7280,0.065,-0.411,-0.784,0.888
2020-12-09 22:55:05.7280,0.065,-0.411,-0.784,0.888
2020-12-09 22:55:05.7290,0.05,-0.433,-0.823,0.931
2020-12-09 22:55:05.7390,0.051,-0.446,-0.891,0.998
2020-12-09 22:55:05.7490,0.076,-0.443,-0.978,1.076
2020-12-09 22:55:05.7590,0.084,-0.444,-1.041,1.135
2020-12-09 22:55:05.7700,0.075,-0.44,-1.069,1.158
2020-12-09 22:55:05.7800,0.058,-0.408,-1.087,1.162
2020-12-09 22:55:05.7900,0.045,-0.332,-1.125,1.174
2020-12-09 22:55:05.8240,0.027,-0.037,-1.049,1.05
2020-12-09 22:55:05.8240,0.027,-0.037,-1.049,1.05
2020-12-09 22:55:05.8240,0.027,-0.037,-1.049,1.05
2020-12-09 22:55:05.8290,-0.033,0.055,-1.078,1.08
2020-12-09 22:55:05.8390,-0.018,0.069,-1.212,1.214
2020-12-09 22:55:05.8490,0.016,-0.006,-1.209,1.209
2020-12-09 22:55:05.8590,0.078,-0.057,-1.176,1.18
2020-12-09 22:55:05.8700,0.155,-0.071,-1.134,1.147
2020-12-09 22:55:05.8800,0.203,-0.088,-1.059,1.082
2020-12-09 22:55:05.8900,0.234,-0.117,-0.991,1.025
2020-12-09 22:55:05.9290,0.078,-0.242,-1.134,1.162
2020-12-09 22:55:05.9290,0.078,-0.242,-1.134,1.162
2020-12-09 22:55:05.9290,0.078,-0.242,-1.134,1.162
2020-12-09 22:55:05.9300,0.078,-0.242,-1.134,1.162
2020-12-09 22:55:05.9390,0.008,-0.244,-1.283,1.306
2020-12-09 22:55:05.9490,-0.083,-0.228,-1.441,1.461
2020-12-09 22:55:05.9590,-0.164,-0.173,-1.599,1.617
2020-12-09 22:55:05.9700,-0.2,-0.106,-1.695,1.71
2020-12-09 22:55:05.9800,-0.214,-0.065,-1.743,1.757
2020-12-09 22:55:05.9900,-0.218,-0.066,-1.767,1.782
2020-12-09 22:55:06.0260,-0.212,-0.233,-1.626,1.656
2020-12-09 22:55:06.0260,-0.212,-0.233,-1.626,1.656
2020-12-09 22:55:06.0260,-0.212,-0.233,-1.626,1.656
2020-12-09 22:55:06.0290,-0.247,-0.298,-1.556,1.603
2020-12-09 22:55:06.0390,-0.231,-0.359,-1.4,1.464
2020-12-09 22:55:06.0490,-0.203,-0.441,-1.414,1.495
2020-12-09 22:55:06.0590,-0.2,-0.452,-1.312,1.402
2020-12-09 22:55:06.0710,-0.2,-0.439,-1.194,1.288
2020-12-09 22:55:06.0800,-0.186,-0.444,-1.154,1.25
2020-12-09 22:55:06.0900,-0.221,-0.418,-1.152,1.245
2020-12-09 22:55:06.1290,-0.106,-0.374,-1.363,1.417
2020-12-09 22:55:06.1300,-0.106,-0.374,-1.363,1.417
2020-12-09 22:55:06.1300,-0.106,-0.374,-1.363,1.417
2020-12-09 22:55:06.1310,-0.106,-0.374,-1.363,1.417
2020-12-09 22:55:06.1400,-0.118,-0.34,-1.367,1.414
2020-12-09 22:55:06.1500,-0.162,-0.307,-1.316,1.361
2020-12-09 22:55:06.1600,-0.198,-0.275,-1.179,1.227
2020-12-09 22:55:06.1710,-0.226,-0.256,-1.04,1.095
2020-12-09 22:55:06.1800,-0.23,-0.22,-0.886,0.941
2020-12-09 22:55:06.1910,-0.214,-0.18,-0.776,0.825
2020-12-09 22:55:06.2280,-0.1,-0.097,-0.757,0.77
2020-12-09 22:55:06.2280,-0.1,-0.097,-0.757,0.77
2020-12-09 22:55:06.2280,-0.1,-0.097,-0.757,0.77
2020-12-09 22:55:06.2300,-0.081,-0.046,-0.805,0.81
2020-12-09 22:55:06.2400,-0.073,0.005,-0.89,0.893
2020-12-09 22:55:06.2500,-0.093,0.063,-0.951,0.958
2020-12-09 22:55:06.2600,-0.146,0.109,-1.024,1.04
2020-12-09 22:55:06.2720,-0.21,0.147,-1.092,1.122
2020-12-09 22:55:06.2810,-0.251,0.145,-1.11,1.147
2020-12-09 22:55:06.2910,-0.29,0.098,-0.966,1.013
2020-12-09 22:55:06.3280,-0.219,-0.345,-0.542,0.679
2020-12-09 22:55:06.3290,-0.219,-0.345,-0.542,0.679
2020-12-09 22:55:06.3290,-0.219,-0.345,-0.542,0.679
2020-12-09 22:55:06.3300,-0.162,-0.49,-0.666,0.843
2020-12-09 22:55:06.3400,-0.12,-0.504,-0.968,1.098
2020-12-09 22:55:06.3500,-0.127,-0.393,-1.354,1.416
2020-12-09 22:55:06.3600,-0.11,-0.281,-1.709,1.735
2020-12-09 22:55:06.3720,-0.019,-0.238,-1.908,1.923
2020-12-09 22:55:06.3810,0.087,-0.229,-1.953,1.968
2020-12-09 22:55:06.3910,0.235,-0.322,-1.848,1.891
2020-12-09 22:55:06.4280,0.55,-0.726,-1.423,1.69
2020-12-09 22:55:06.4280,0.55,-0.726,-1.423,1.69
2020-12-09 22:55:06.4280,0.55,-0.726,-1.423,1.69
2020-12-09 22:55:06.4300,0.346,-0.671,-1.303,1.506
2020-12-09 22:55:06.4400,0.195,-0.685,-1.045,1.265
2020-12-09 22:55:06.4500,0.213,-0.776,-0.757,1.105
2020-12-09 22:55:06.4600,0.246,-0.845,-0.36,0.951
2020-12-09 22:55:06.4720,0.281,-0.85,0.026,0.896
2020-12-09 22:55:06.4810,0.352,-0.796,0.313,0.925
2020-12-09 22:55:06.4910,0.479,-0.725,0.486,0.996
2020-12-09 22:55:06.5230,1.016,-0.338,0.18,1.086
2020-12-09 22:55:06.5230,1.016,-0.338,0.18,1.086
2020-12-09 22:55:06.5230,1.016,-0.338,0.18,1.086
2020-12-09 22:55:06.5310,1.085,-0.201,-0.107,1.109
2020-12-09 22:55:06.5410,1.038,-0.097,-0.366,1.105
2020-12-09 22:55:06.5500,0.913,-0.014,-0.549,1.065
2020-12-09 22:55:06.5610,0.693,0.065,-0.722,1.003
