time,gFx,gFy,gFz,acc
2020-12-12 9:17:35.1210,0.119,-0.059,-0.405,0.426
2020-12-12 9:17:35.1420,-0.008,-0.076,-0.514,0.52
2020-12-12 9:17:35.1420,-0.008,-0.076,-0.514,0.52
2020-12-12 9:17:35.1460,0.006,-0.114,-0.549,0.561
2020-12-12 9:17:35.1560,0.057,-0.181,-0.615,0.644
2020-12-12 9:17:35.1660,0.148,-0.26,-0.726,0.785
2020-12-12 9:17:35.1770,0.247,-0.341,-0.848,0.947
2020-12-12 9:17:35.1870,0.323,-0.438,-0.953,1.097
2020-12-12 9:17:35.1970,0.377,-0.526,-1.032,1.218
2020-12-12 9:17:35.2070,0.389,-0.576,-1.115,1.314
2020-12-12 9:17:35.2210,0.369,-0.594,-1.244,1.427
2020-12-12 9:17:35.2420,0.215,-0.599,-1.472,1.604
2020-12-12 9:17:35.2420,0.215,-0.599,-1.472,1.604
2020-12-12 9:17:35.2470,0.107,-0.609,-1.534,1.654
2020-12-12 9:17:35.2570,0.042,-0.621,-1.583,1.701
2020-12-12 9:17:35.2670,0.027,-0.598,-1.615,1.722
2020-12-12 9:17:35.2770,0.05,-0.565,-1.595,1.693
2020-12-12 9:17:35.2870,0.104,-0.562,-1.524,1.628
2020-12-12 9:17:35.2970,0.162,-0.571,-1.435,1.553
2020-12-12 9:17:35.3070,0.209,-0.576,-1.34,1.473
2020-12-12 9:17:35.3410,0.194,-0.505,-1.045,1.177
2020-12-12 9:17:35.3410,0.194,-0.505,-1.045,1.177
2020-12-12 9:17:35.3410,0.194,-0.505,-1.045,1.177
2020-12-12 9:17:35.3470,0.156,-0.477,-0.974,1.096
2020-12-12 9:17:35.3570,0.115,-0.448,-0.931,1.04
2020-12-12 9:17:35.3670,0.057,-0.41,-0.923,1.012
2020-12-12 9:17:35.3770,-0.003,-0.355,-0.92,0.986
2020-12-12 9:17:35.3870,-0.052,-0.298,-0.895,0.945
2020-12-12 9:17:35.3970,-0.091,-0.249,-0.835,0.876
2020-12-12 9:17:35.4080,-0.124,-0.207,-0.756,0.794
2020-12-12 9:17:35.4210,-0.159,-0.167,-0.66,0.699
2020-12-12 9:17:35.4420,-0.233,-0.067,-0.47,0.529
2020-12-12 9:17:35.4430,-0.233,-0.067,-0.47,0.529
2020-12-12 9:17:35.4470,-0.248,-0.028,-0.403,0.474
2020-12-12 9:17:35.4570,-0.236,-0.012,-0.378,0.446
2020-12-12 9:17:35.4680,-0.212,-0.017,-0.383,0.438
2020-12-12 9:17:35.4770,-0.184,-0.026,-0.41,0.45
2020-12-12 9:17:35.4880,-0.159,-0.034,-0.5,0.526
2020-12-12 9:17:35.4980,-0.13,-0.036,-0.632,0.646
2020-12-12 9:17:35.5080,-0.098,-0.032,-0.76,0.767
2020-12-12 9:17:35.5230,-0.056,-0.031,-0.845,0.847
2020-12-12 9:17:35.5450,0.037,-0.071,-0.938,0.941
2020-12-12 9:17:35.5450,0.037,-0.071,-0.938,0.941
2020-12-12 9:17:35.5470,0.098,-0.13,-0.971,0.985
2020-12-12 9:17:35.5570,0.185,-0.228,-1.025,1.066
2020-12-12 9:17:35.5680,0.278,-0.353,-1.094,1.183
2020-12-12 9:17:35.5780,0.29,-0.432,-1.128,1.242
2020-12-12 9:17:35.5880,0.186,-0.476,-1.147,1.256
2020-12-12 9:17:35.5980,0.076,-0.559,-1.208,1.333
2020-12-12 9:17:35.6080,0.016,-0.661,-1.333,1.488
