time,gFx,gFy,gFz,acc
2020-12-12 9:13:16.0620,0.035,-0.23,-0.996,1.023
2020-12-12 9:13:16.0620,0.035,-0.23,-0.996,1.023
2020-12-12 9:13:16.0750,0.045,-0.226,-0.987,1.014
2020-12-12 9:13:16.0810,0.055,-0.228,-0.975,1.003
2020-12-12 9:13:16.0910,0.053,-0.232,-0.959,0.988
2020-12-12 9:13:16.1010,0.041,-0.236,-0.95,0.98
2020-12-12 9:13:16.1110,0.025,-0.238,-0.948,0.978
2020-12-12 9:13:16.1220,0.018,-0.239,-0.949,0.979
2020-12-12 9:13:16.1320,0.017,-0.239,-0.951,0.981
2020-12-12 9:13:16.1420,0.019,-0.236,-0.953,0.982
2020-12-12 9:13:16.1690,0.026,-0.23,-0.954,0.982
2020-12-12 9:13:16.1700,0.026,-0.23,-0.954,0.982
2020-12-12 9:13:16.1710,0.031,-0.227,-0.95,0.977
2020-12-12 9:13:16.1820,0.033,-0.227,-0.95,0.977
2020-12-12 9:13:16.1920,0.031,-0.228,-0.953,0.98
2020-12-12 9:13:16.2020,0.025,-0.227,-0.956,0.983
2020-12-12 9:13:16.2120,0.021,-0.223,-0.96,0.986
2020-12-12 9:13:16.2230,0.019,-0.218,-0.967,0.991
2020-12-12 9:13:16.2320,0.02,-0.213,-0.971,0.994
2020-12-12 9:13:16.2420,0.024,-0.21,-0.977,1.0
2020-12-12 9:13:16.2740,0.02,-0.211,-0.994,1.016
2020-12-12 9:13:16.2750,0.02,-0.211,-0.994,1.016
2020-12-12 9:13:16.2750,0.02,-0.211,-0.994,1.016
2020-12-12 9:13:16.2820,0.014,-0.21,-0.991,1.013
2020-12-12 9:13:16.2920,0.012,-0.207,-0.985,1.007
2020-12-12 9:13:16.3020,0.012,-0.207,-0.978,1.0
2020-12-12 9:13:16.3120,0.013,-0.21,-0.98,1.002
2020-12-12 9:13:16.3220,0.017,-0.213,-0.979,1.002
2020-12-12 9:13:16.3320,0.017,-0.215,-0.973,0.997
2020-12-12 9:13:16.3430,0.011,-0.219,-0.963,0.988
2020-12-12 9:13:16.3720,0.009,-0.221,-0.952,0.977
2020-12-12 9:13:16.3730,0.009,-0.221,-0.952,0.977
2020-12-12 9:13:16.3730,0.009,-0.221,-0.952,0.977
2020-12-12 9:13:16.3820,0.012,-0.223,-0.953,0.979
2020-12-12 9:13:16.3920,0.012,-0.226,-0.956,0.982
