time,gFx,gFy,gFz,acc
2020-12-12 9:15:06.2580,-0.086,-0.177,-0.862,0.884
2020-12-12 9:15:06.2680,-0.077,-0.196,-0.816,0.843
2020-12-12 9:15:06.2780,-0.066,-0.206,-0.793,0.822
2020-12-12 9:15:06.2880,-0.044,-0.228,-0.79,0.823
2020-12-12 9:15:06.2980,-0.028,-0.247,-0.781,0.82
2020-12-12 9:15:06.3330,-0.027,-0.223,-0.802,0.833
2020-12-12 9:15:06.3330,-0.027,-0.223,-0.802,0.833
2020-12-12 9:15:06.3330,-0.027,-0.223,-0.802,0.833
2020-12-12 9:15:06.3380,-0.031,-0.226,-0.827,0.858
2020-12-12 9:15:06.3480,-0.034,-0.223,-0.851,0.88
2020-12-12 9:15:06.3580,-0.036,-0.222,-0.864,0.893
2020-12-12 9:15:06.3680,-0.037,-0.225,-0.864,0.894
2020-12-12 9:15:06.3780,-0.033,-0.228,-0.858,0.888
2020-12-12 9:15:06.3880,-0.029,-0.237,-0.843,0.876
2020-12-12 9:15:06.3980,-0.023,-0.249,-0.828,0.865
2020-12-12 9:15:06.4320,-0.002,-0.276,-0.792,0.839
2020-12-12 9:15:06.4330,-0.002,-0.276,-0.792,0.839
2020-12-12 9:15:06.4330,-0.002,-0.276,-0.792,0.839
2020-12-12 9:15:06.4380,-0.001,-0.287,-0.789,0.84
2020-12-12 9:15:06.4480,0.0,-0.298,-0.791,0.845
2020-12-12 9:15:06.4580,0.001,-0.306,-0.799,0.856
2020-12-12 9:15:06.4680,-0.003,-0.315,-0.809,0.868
2020-12-12 9:15:06.4790,-0.007,-0.327,-0.819,0.882
2020-12-12 9:15:06.4880,-0.007,-0.337,-0.829,0.895
2020-12-12 9:15:06.4990,-0.009,-0.339,-0.843,0.909
2020-12-12 9:15:06.5290,-0.026,-0.351,-0.882,0.95
2020-12-12 9:15:06.5290,-0.026,-0.351,-0.882,0.95
2020-12-12 9:15:06.5300,-0.026,-0.351,-0.882,0.95
2020-12-12 9:15:06.5380,-0.027,-0.352,-0.89,0.957
2020-12-12 9:15:06.5490,-0.035,-0.357,-0.898,0.967
2020-12-12 9:15:06.5580,-0.04,-0.36,-0.905,0.975
2020-12-12 9:15:06.5680,-0.038,-0.359,-0.912,0.981
2020-12-12 9:15:06.5790,-0.024,-0.356,-0.929,0.995
2020-12-12 9:15:06.5890,-0.012,-0.353,-0.955,1.018
2020-12-12 9:15:06.5990,-0.006,-0.351,-0.983,1.044
2020-12-12 9:15:06.6320,0.016,-0.331,-1.046,1.097
2020-12-12 9:15:06.6320,0.016,-0.331,-1.046,1.097
2020-12-12 9:15:06.6320,0.016,-0.331,-1.046,1.097
2020-12-12 9:15:06.6380,0.018,-0.327,-1.081,1.13
2020-12-12 9:15:06.6490,0.001,-0.344,-1.118,1.17
2020-12-12 9:15:06.6590,0.0,-0.375,-1.15,1.21
2020-12-12 9:15:06.6690,0.022,-0.382,-1.176,1.237
2020-12-12 9:15:06.6790,0.047,-0.342,-1.201,1.25
2020-12-12 9:15:06.6890,0.049,-0.288,-1.224,1.258
2020-12-12 9:15:06.6990,0.036,-0.253,-1.247,1.273
2020-12-12 9:15:06.7310,0.018,-0.155,-1.303,1.312
2020-12-12 9:15:06.7310,0.018,-0.155,-1.303,1.312
2020-12-12 9:15:06.7310,0.018,-0.155,-1.303,1.312
2020-12-12 9:15:06.7380,-0.0,-0.149,-1.289,1.298
2020-12-12 9:15:06.7490,-0.009,-0.144,-1.246,1.254
2020-12-12 9:15:06.7590,-0.001,-0.131,-1.185,1.192
2020-12-12 9:15:06.7690,0.016,-0.114,-1.123,1.129
2020-12-12 9:15:06.7790,0.035,-0.109,-1.071,1.077
2020-12-12 9:15:06.7890,0.047,-0.127,-1.033,1.042
2020-12-12 9:15:06.8000,0.052,-0.15,-1.013,1.025
2020-12-12 9:15:06.8370,0.078,-0.17,-0.976,0.994
2020-12-12 9:15:06.8380,0.078,-0.17,-0.976,0.994
2020-12-12 9:15:06.8380,0.078,-0.17,-0.976,0.994
2020-12-12 9:15:06.8390,0.084,-0.166,-0.968,0.986
2020-12-12 9:15:06.8490,0.092,-0.155,-0.964,0.981
2020-12-12 9:15:06.8590,0.088,-0.144,-0.965,0.98
2020-12-12 9:15:06.8690,0.075,-0.133,-0.965,0.977
2020-12-12 9:15:06.8790,0.058,-0.124,-0.97,0.98
2020-12-12 9:15:06.8890,0.041,-0.117,-0.97,0.978
2020-12-12 9:15:06.8990,0.027,-0.115,-0.963,0.97
2020-12-12 9:15:06.9360,-0.002,-0.135,-0.893,0.903
2020-12-12 9:15:06.9360,-0.002,-0.135,-0.893,0.903
2020-12-12 9:15:06.9370,-0.002,-0.135,-0.893,0.903
2020-12-12 9:15:06.9390,-0.009,-0.137,-0.852,0.863
2020-12-12 9:15:06.9490,-0.016,-0.143,-0.807,0.82
2020-12-12 9:15:06.9600,-0.019,-0.157,-0.764,0.78
2020-12-12 9:15:06.9690,-0.019,-0.171,-0.722,0.742
2020-12-12 9:15:06.9790,-0.015,-0.181,-0.695,0.718
2020-12-12 9:15:06.9900,-0.017,-0.193,-0.686,0.713
2020-12-12 9:15:07.0000,-0.023,-0.207,-0.686,0.717
2020-12-12 9:15:07.0350,-0.028,-0.243,-0.723,0.763
2020-12-12 9:15:07.0350,-0.028,-0.243,-0.723,0.763
2020-12-12 9:15:07.0350,-0.028,-0.243,-0.723,0.763
2020-12-12 9:15:07.0390,-0.027,-0.255,-0.744,0.787
2020-12-12 9:15:07.0490,-0.017,-0.266,-0.767,0.812
2020-12-12 9:15:07.0590,-0.007,-0.279,-0.785,0.833
2020-12-12 9:15:07.0690,0.004,-0.294,-0.798,0.85
2020-12-12 9:15:07.0800,0.015,-0.304,-0.806,0.862
2020-12-12 9:15:07.0900,0.026,-0.307,-0.815,0.871
2020-12-12 9:15:07.1000,0.021,-0.302,-0.837,0.89
2020-12-12 9:15:07.1360,0.022,-0.311,-0.958,1.007
2020-12-12 9:15:07.1370,0.022,-0.311,-0.958,1.007
2020-12-12 9:15:07.1370,0.022,-0.311,-0.958,1.007
2020-12-12 9:15:07.1390,0.013,-0.334,-1.001,1.055
2020-12-12 9:15:07.1500,0.003,-0.353,-1.04,1.098
2020-12-12 9:15:07.1600,-0.015,-0.366,-1.069,1.13
2020-12-12 9:15:07.1690,-0.029,-0.362,-1.103,1.161
2020-12-12 9:15:07.1800,-0.028,-0.338,-1.137,1.187
2020-12-12 9:15:07.1900,-0.011,-0.309,-1.165,1.205
2020-12-12 9:15:07.2000,-0.01,-0.295,-1.185,1.221
2020-12-12 9:15:07.2370,-0.045,-0.393,-1.164,1.229
2020-12-12 9:15:07.2370,-0.045,-0.393,-1.164,1.229
2020-12-12 9:15:07.2370,-0.045,-0.393,-1.164,1.229
2020-12-12 9:15:07.2390,-0.013,-0.403,-1.135,1.204
2020-12-12 9:15:07.2500,-0.004,-0.37,-1.116,1.176
2020-12-12 9:15:07.2600,-0.016,-0.337,-1.114,1.164
2020-12-12 9:15:07.2700,-0.005,-0.337,-1.132,1.181
2020-12-12 9:15:07.2800,0.032,-0.322,-1.168,1.212
2020-12-12 9:15:07.2900,0.063,-0.27,-1.217,1.248
2020-12-12 9:15:07.3000,0.075,-0.237,-1.278,1.302
2020-12-12 9:15:07.3360,0.081,-0.145,-1.327,1.337
2020-12-12 9:15:07.3360,0.081,-0.145,-1.327,1.337
2020-12-12 9:15:07.3360,0.081,-0.145,-1.327,1.337
2020-12-12 9:15:07.3400,0.047,-0.078,-1.261,1.264
2020-12-12 9:15:07.3500,0.024,-0.058,-1.164,1.166
2020-12-12 9:15:07.3600,0.015,-0.077,-1.048,1.051
2020-12-12 9:15:07.3700,0.003,-0.103,-0.931,0.937
2020-12-12 9:15:07.3800,-0.012,-0.126,-0.83,0.84
2020-12-12 9:15:07.3910,-0.032,-0.147,-0.757,0.772
2020-12-12 9:15:07.4010,-0.044,-0.166,-0.715,0.735
2020-12-12 9:15:07.4360,-0.007,-0.143,-0.79,0.803
2020-12-12 9:15:07.4360,-0.007,-0.143,-0.79,0.803
2020-12-12 9:15:07.4360,-0.007,-0.143,-0.79,0.803
2020-12-12 9:15:07.4400,0.014,-0.125,-0.854,0.863
2020-12-12 9:15:07.4500,0.035,-0.115,-0.913,0.921
2020-12-12 9:15:07.4600,0.048,-0.111,-0.958,0.966
2020-12-12 9:15:07.4700,0.054,-0.108,-0.988,0.995
