timestamp (Asia/Kolkata),heartrate
2020-12-05T06:49:54+05:30,76
2020-12-05T06:54:59+05:30,80
2020-12-05T06:57:33+05:30,71
2020-12-05T07:07:45+05:30,83
2020-12-05T07:11:45+05:30,94
2020-12-05T07:19:13+05:30,85
2020-12-05T07:22:14+05:30,97
2020-12-05T07:28:31+05:30,103
2020-12-05T07:32:42+05:30,97
2020-12-05T07:37:44+05:30,87
2020-12-05T07:45:51+05:30,82
2020-12-05T07:48:07+05:30,85
2020-12-05T07:52:04+05:30,83
2020-12-05T07:54:35+05:30,89
2020-12-05T07:54:40+05:30,88
2020-12-05T07:54:45+05:30,89
2020-12-05T07:56:50+05:30,79
2020-12-05T07:59:37+05:30,84
2020-12-05T07:59:42+05:30,86
2020-12-05T07:59:47+05:30,87
2020-12-05T08:01:09+05:30,89
2020-12-05T08:01:15+05:30,87
2020-12-05T08:01:20+05:30,83
2020-12-05T08:01:24+05:30,81
2020-12-05T08:01:30+05:30,78
2020-12-05T08:01:35+05:30,78
2020-12-05T08:01:36+05:30,78
2020-12-05T08:01:44+05:30,78
2020-12-05T08:01:49+05:30,78
2020-12-05T08:01:51+05:30,78
2020-12-05T08:01:56+05:30,79
2020-12-05T08:02:21+05:30,84
2020-12-05T08:06:16+05:30,81
2020-12-05T08:12:48+05:30,91
2020-12-05T08:16:36+05:30,86
2020-12-05T08:25:26+05:30,81
2020-12-05T08:28:47+05:30,83
2020-12-05T08:34:27+05:30,73
2020-12-05T08:38:32+05:30,78
2020-12-05T08:41:26+05:30,76
2020-12-05T08:51:06+05:30,80
2020-12-05T08:55:51+05:30,77
2020-12-05T08:58:13+05:30,88
2020-12-05T09:02:58+05:30,87
2020-12-05T09:07:52+05:30,87
2020-12-05T09:14:05+05:30,89
2020-12-05T09:18:58+05:30,88
2020-12-05T09:24:06+05:30,85
2020-12-05T09:28:17+05:30,85
2020-12-05T09:31:56+05:30,91
2020-12-05T09:39:02+05:30,88
2020-12-05T09:42:12+05:30,86
2020-12-05T09:47:07+05:30,84
2020-12-05T09:52:36+05:30,81
2020-12-05T10:01:08+05:30,87
2020-12-05T10:03:06+05:30,91
2020-12-05T10:08:37+05:30,86
2020-12-05T10:13:22+05:30,88
2020-12-05T10:20:17+05:30,81
2020-12-05T10:23:42+05:30,85
2020-12-05T10:26:27+05:30,87
2020-12-05T10:36:02+05:30,82
2020-12-05T10:38:11+05:30,80
2020-12-05T10:44:12+05:30,80
2020-12-05T10:47:24+05:30,78
2020-12-05T10:54:09+05:30,76
2020-12-05T11:00:36+05:30,80
2020-12-05T11:00:48+05:30,81
2020-12-05T11:05:19+05:30,77
2020-12-05T11:09:50+05:30,80
2020-12-05T11:12:58+05:30,81
2020-12-05T11:19:49+05:30,79
2020-12-05T11:21:57+05:30,81
2020-12-05T11:29:51+05:30,86
2020-12-05T11:32:31+05:30,84
2020-12-05T11:39:17+05:30,79
2020-12-05T11:45:27+05:30,84
2020-12-05T11:48:33+05:30,80
2020-12-05T11:53:26+05:30,81
2020-12-05T11:57:22+05:30,79
2020-12-05T12:03:41+05:30,82
2020-12-05T12:07:01+05:30,79
2020-12-05T12:11:50+05:30,84
2020-12-05T12:17:19+05:30,97
2020-12-05T12:26:01+05:30,80
2020-12-05T12:29:19+05:30,83
2020-12-05T12:31:15+05:30,80
2020-12-05T12:39:29+05:30,86
2020-12-05T12:43:20+05:30,82
2020-12-05T12:49:21+05:30,79
2020-12-05T12:51:46+05:30,86
2020-12-05T12:59:36+05:30,90
2020-12-05T13:01:32+05:30,83
2020-12-05T13:08:33+05:30,79
2020-12-05T13:15:54+05:30,78
2020-12-05T13:18:07+05:30,76
2020-12-05T13:25:27+05:30,68
2020-12-05T13:29:25+05:30,83
2020-12-05T13:31:21+05:30,75
2020-12-05T18:01:12+05:30,94
2020-12-05T18:04:12+05:30,97
2020-12-05T18:07:58+05:30,96
2020-12-05T18:10:17+05:30,99
2020-12-05T18:10:18+05:30,101
2020-12-05T18:10:27+05:30,91
2020-12-05T18:10:30+05:30,92
2020-12-05T18:10:37+05:30,99
2020-12-05T18:10:39+05:30,98
2020-12-05T18:10:45+05:30,102
2020-12-05T18:10:50+05:30,102
2020-12-05T18:10:54+05:30,102
2020-12-05T18:10:59+05:30,98
2020-12-05T18:11:03+05:30,99
2020-12-05T18:11:12+05:30,100
2020-12-05T18:11:16+05:30,102
2020-12-05T18:11:20+05:30,101
2020-12-05T18:11:26+05:30,102
2020-12-05T18:11:28+05:30,102
2020-12-05T18:11:33+05:30,101
2020-12-05T18:11:42+05:30,111
2020-12-05T18:11:43+05:30,111
2020-12-05T18:11:52+05:30,107
2020-12-05T18:11:53+05:30,107
2020-12-05T18:12:01+05:30,94
2020-12-05T18:12:07+05:30,105
2020-12-05T18:12:08+05:30,105
2020-12-05T18:12:13+05:30,107
2020-12-05T18:12:22+05:30,100
2020-12-05T18:12:26+05:30,103
2020-12-05T18:12:32+05:30,103
2020-12-05T18:12:33+05:30,103
2020-12-05T18:12:38+05:30,102
2020-12-05T18:12:46+05:30,88
2020-12-05T18:12:50+05:30,93
2020-12-05T18:12:57+05:30,100
2020-12-05T18:13:00+05:30,100
2020-12-05T18:13:07+05:30,91
2020-12-05T18:13:08+05:30,91
2020-12-05T18:13:14+05:30,102
2020-12-05T18:13:22+05:30,95
2020-12-05T18:13:27+05:30,93
2020-12-05T18:13:28+05:30,93
2020-12-05T18:13:37+05:30,92
2020-12-05T18:13:38+05:30,92
2020-12-05T18:13:43+05:30,92
2020-12-05T18:13:50+05:30,100
2020-12-05T18:13:54+05:30,97
2020-12-05T18:14:01+05:30,91
2020-12-05T18:14:06+05:30,92
2020-12-05T18:14:08+05:30,93
2020-12-05T18:14:16+05:30,91
2020-12-05T18:14:22+05:30,92
2020-12-05T18:14:24+05:30,93
2020-12-05T18:14:28+05:30,94
2020-12-05T18:14:37+05:30,100
2020-12-05T18:14:40+05:30,99
2020-12-05T18:14:43+05:30,97
2020-12-05T18:14:49+05:30,99
2020-12-05T18:14:54+05:30,95
2020-12-05T18:14:59+05:30,97
2020-12-05T18:15:07+05:30,96
2020-12-05T18:15:09+05:30,97
2020-12-05T18:15:17+05:30,96
2020-12-05T18:15:18+05:30,96
2020-12-05T18:15:23+05:30,99
2020-12-05T18:15:32+05:30,90
2020-12-05T18:15:33+05:30,91
2020-12-05T18:15:38+05:30,100
2020-12-05T18:15:47+05:30,93
2020-12-05T18:15:52+05:30,93
2020-12-05T18:15:53+05:30,93
2020-12-05T18:15:59+05:30,98
2020-12-05T18:16:07+05:30,92
2020-12-05T18:16:12+05:30,92
2020-12-05T18:16:13+05:30,92
2020-12-05T18:16:20+05:30,99
2020-12-05T18:16:24+05:30,94
2020-12-05T18:16:29+05:30,97
2020-12-05T18:16:33+05:30,98
2020-12-05T18:16:42+05:30,92
2020-12-05T18:16:47+05:30,93
2020-12-05T18:16:51+05:30,95
2020-12-05T18:16:56+05:30,96
2020-12-05T18:16:59+05:30,95
2020-12-05T18:17:05+05:30,96
2020-12-05T18:17:08+05:30,97
2020-12-05T18:17:14+05:30,98
2020-12-05T18:17:19+05:30,100
2020-12-05T18:17:27+05:30,92
2020-12-05T18:17:29+05:30,92
2020-12-05T18:17:37+05:30,104
2020-12-05T18:17:39+05:30,104
2020-12-05T18:17:46+05:30,100
2020-12-05T18:17:52+05:30,101
2020-12-05T18:17:57+05:30,103
2020-12-05T18:17:58+05:30,103
2020-12-05T18:18:04+05:30,106
2020-12-05T18:18:11+05:30,100
2020-12-05T18:18:14+05:30,102
2020-12-05T18:18:22+05:30,94
2020-12-05T18:18:25+05:30,96
2020-12-05T18:18:29+05:30,96
2020-12-05T18:18:33+05:30,95
2020-12-05T18:18:38+05:30,96
2020-12-05T18:18:44+05:30,95
2020-12-05T18:18:48+05:30,97
2020-12-05T18:18:57+05:30,86
2020-12-05T18:19:01+05:30,85
2020-12-05T18:19:05+05:30,90
2020-12-05T18:19:12+05:30,101
2020-12-05T18:19:13+05:30,101
2020-12-05T18:19:18+05:30,102
2020-12-05T18:19:27+05:30,88
2020-12-05T18:19:32+05:30,90
2020-12-05T18:19:36+05:30,93
2020-12-05T18:19:40+05:30,94
2020-12-05T18:19:43+05:30,94
2020-12-05T18:19:51+05:30,92
