Time;AccX;AccY;AccZ;Acc-old;Acc-trns
11:46.2;-0.25628636609612526;-0.10162250444176005;-0.5540639933628912;0.603;0.014430298829571378
11:46.2;-0.27359438290486643;-0.12261761645776444;-0.6656085601163938;0.603;0.02232949725193181
11:46.2;-0.2886477735636978;-0.14232007360710103;-0.7739726988756178;0.636;0.03179508668185013
11:46.2;-0.2994406321241764;-0.15965933904878024;-0.8760569468983171;1.011;0.04188296277195525
11:46.2;-0.30406573455901575;-0.17413234331870647;-0.9686343936123172;1.04;0.051286942826740844
11:46.2;-0.30085166074005515;-0.1859284263762927;-1.0485136538738464;1.04;0.058650578088062504
11:46.2;-0.2885371876566479;-0.19590718120220502;-1.1127767750319908;1.276;0.06290138428104346
11:46.2;-0.2664540470186287;-0.20541682393792757;-1.159064035307757;1.4040000000000001;0.06344037788790573
11:46.2;-0.2346763231687186;-0.2159934567610852;-1.1858681192371667;1.3780000000000001;0.060109935765099626
11:46.3;-0.19409210937421245;-0.22901413667086143;-1.1927766417485404;1.364;0.0530187271396739
11:46.3;-0.14636258350479864;-0.24538423198543904;-1.1806042947358704;1.348;0.04240148605860792
11:46.3;-0.09375586395529463;-0.2653261467562087;-1.1513876254448414;1.3030000000000002;0.028641782843907563
11:46.3;-0.03887249543163213;-0.2883058676805324;-1.1082393081540083;1.247;0.012420224691762467
11:46.3;0.015691135814419235;-0.3130951625740471;-1.0550687600407913;0.9840000000000001;0.005183361553935835
11:46.3;0.06767359242724384;-0.33793533812563553;-0.996198940430889;0.9840000000000001;0.022782370773786496
11:46.3;0.1154019942386079;-0.36075565112098146;-0.9359451240450373;0.9840000000000001;0.03896519400013418
11:46.3;0.1579199734495795;-0.3794092391777862;-0.8782295052270988;0.915;0.052620259849573185
11:46.3;0.19498113814932755;-0.39190957234881835;-0.8262714911808045;0.878;0.06313951490237349
11:46.4;0.22692900267019767;-0.39665912651596524;-0.7823614874843988;0.853;0.07042306444380472
11:46.4;0.2544936769530067;-0.3926537221633651;-0.7477250747957112;0.82;0.07471858866749286
11:46.4;0.2785381973296457;-0.3796364146139157;-0.7224929841805936;0.79;0.07639875087934485
11:46.4;0.29979373831333067;-0.35817576623707814;-0.7057900246896167;0.7809999999999999;0.07578692255725611
11:46.4;0.3186299023956497;-0.32965249736631647;-0.6959458617447492;0.784;0.07310016504231504
11:46.4;0.3349065500875014;-0.2961517852512813;-0.6908137175017396;0.919;0.0685170962470299
11:46.4;0.3479393478133148;-0.2602761370565614;-0.68815580119659;0.919;0.062319602257199076
11:46.4;0.3565833018852586;-0.22490997318940137;-0.6860255288609126;0.919;0.055018658027338484
11:46.4;0.35941574316091174;-0.1929665788488751;-0.6830707060376767;0.9159999999999999;0.04737452342496063
11:46.4;0.35499369893939187;-0.16713122697911495;-0.6787082479189982;0.893;0.04026812174325496
11:46.5;0.3421537480784584;-0.1496054503916295;-0.6731590999943476;0.862;0.03445771215928802
11:46.5;0.3203047208956495;-0.1418689352864224;-0.66736156596791;0.805;0.030325770267594816
11:46.5;0.2896532187120026;-0.1444921931081283;-0.6627997204636005;0.762;0.027739910677608802
11:46.5;0.2513141294235458;-0.15704028374546203;-0.6612907268274212;0.7490000000000001;0.02609879224370804
11:46.5;0.20728261593265296;-0.17810393172607614;-0.6647674577043566;0.779;0.024541784541259815
11:46.5;0.16026540653628638;-0.20547737976922933;-0.6750741094849362;0.708;0.022230808660048968
11:46.5;0.11339102615676297;-0.2364646291101921;-0.6937777271458159;0.708;0.018602239264848715
11:46.5;0.06984390315960155;-0.26824803024118543;-0.7220025344997811;0.708;0.013527070865769581
11:46.5;0.032476051849866634;-0.29823659694333615;-0.7603102893116511;0.7;0.007364021183022532
11:46.5;0.0034375682824174607;-0.32434434999522527;-0.8086575344267891;0.9490000000000001;0.0009016174487567216
11:46.6;-0.016134635025753477;-0.3451897098641834;-0.8664440763843894;1.1520000000000001;0.004825668933397759
11:46.6;-0.026314841177495746;-0.36021302633371993;-0.9326256840900434;1.156;0.008840310902046039
11:46.6;-0.028419018493286048;-0.36969232253726786;-1.0058275900667404;1.159;0.01056751931945207
11:46.6;-0.024843943159784946;-0.37463433837512966;-1.0844034564322136;1.168;0.010092970449852657
11:46.6;-0.018734763163828962;-0.3765456175869222;-1.1664276397141242;1.1640000000000001;0.008228555579558117
11:46.6;-0.013541397749816459;-0.3771302437782535;-1.2496429628292336;1.23;0.006381764950465411
11:46.6;-0.012547958506164903;-0.3779841270141878;-1.3313988157402352;1.23;0.0063147302424831
11:46.6;-0.018457043740680086;-0.3803440523738203;-1.4086215206251702;1.23;0.009888560841581327
11:46.6;-0.03308765149977483;-0.38491897464656316;-1.477867544140428;1.368;0.01882221693915918
11:46.6;-0.05721786591746892;-0.39180450618975615;-1.535507617974191;1.61;0.034423344061328645
11:46.7;-0.0905814825418656;-0.4004632019955218;-1.5780555361247022;1.791;0.05724325530042468
11:46.7;-0.13200480166939818;-0.40974361805617565;-1.6025910570882234;1.899;0.0866811454786567
11:46.7;-0.17964051183312593;-0.4179221531109827;-1.6071701904683846;1.92;0.12065950660942337
11:46.7;-0.23123620851679116;-0.4227816666332084;-1.5911056672231898;1.885;0.15555035581414337
11:46.7;-0.28438461081226446;-0.4217621896211887;-1.5550346571950298;1.8090000000000002;0.18651501829113637
11:46.7;-0.33673122142825523;-0.4122096622118694;-1.500748584491343;1.391;0.20830970098090804
11:46.7;-0.38613354279690104;-0.3917145383884994;-1.4308343480223737;1.391;0.2164195937143569
11:46.7;-0.4307640096540901;-0.3584962678628644;-1.348249861962003;1.391;0.2082065721433888
11:46.7;-0.46914777529106555;-0.31177310803782904;-1.2559719168244816;1.33;0.18370807333923048
11:46.7;-0.500141578861892;-0.25206045542243727;-1.1567887138721507;1.335;0.1458316266853213
11:46.8;-0.5228771570679013;-0.1813465185013286;-1.0532281533922871;1.253;0.09986914944617827
11:46.8;-0.5366988470846109;-0.10309520350349802;-0.9475745364707211;1.088;0.05243031950830635
11:46.8;-0.5411255196985091;-0.022042222814136887;-0.8419238082319055;1.014;0.010042138224423902
11:46.8;-0.535861534859781;0.05620347958651153;-0.7382390516848332;1.021;0.02223375431994254
11:46.8;-0.5208564611560837;0.12568435530126282;-0.6383819281267891;1.0170000000000001;0.04179072079406991
11:46.8;-0.4963746905575175;0.18064786821106052;-0.5441066924073152;0.69;0.048789519152266876
11:46.8;-0.46302527696804624;0.21604809150857918;-0.457018195355309;0.69;0.045718147611598
11:46.8;-0.4217410384965552;0.22795508784881277;-0.378512814541521;0.69;0.03638947082374529
11:46.8;-0.37373815123904097;0.21386800562309172;-0.3097188686707276;0.56;0.024756025234420567
11:46.8;-0.320485911786774;0.17294446889167883;-0.25142866421566573;0.527;0.013935751972865458
11:46.9;-0.2636886231642029;0.1061515298228959;-0.20400608798602027;0.57;0.005710324360654576
11:46.9;-0.20526018893534265;0.016310254479647783;-0.16728414451599163;0.45799999999999996;0.0005600415400421338
11:46.9;-0.14726573673155585;-0.09203564672421906;-0.14050882183515115;0.191;0.0019044140420006784
11:46.9;-0.09181901774373727;-0.2130003596574809;-0.12239663441979258;0.25;0.0023937701951838755
11:46.9;-0.04095355455463163;-0.3399936867723471;-0.11133494221640888;0.598;0.00155022216861423
11:46.9;0.0034933240629615417;-0.46652012816266564;-0.10568834523180604;1.037;0.0001722409292516508
11:46.9;0.03994830053942882;-0.5869615690084703;-0.10412578248798565;1.037;0.002441553547555334
11:46.9;0.06711681293365362;-0.6971485516030602;-0.1058773029573613;1.037;0.004954040183695476
11:46.9;0.08397680834106186;-0.7945885349581775;-0.11085778624968265;0.9309999999999999;0.007397208513017849
11:46.9;0.08980028362335575;-0.8783375318950933;-0.11963582034656287;0.7979999999999999;0.00943627048233738
11:47.0;0.08424428920363979;-0.9486101540945401;-0.13326803192607622;0.779;0.010650113193885315
11:47.0;0.06752901646376738;-1.0062755281271363;-0.15305473806775008;0.888;0.010400497500805392
11:47.0;0.040675980037550866;-1.0523771687062007;-0.18028241030746095;1.016;0.0077172540762464855
11:47.0;0.005722514332129318;-1.0877630090600952;-0.21598924050571414;1.093;0.0013444767373621002
11:47.0;-0.03420971533252344;-1.1128525078424845;-0.26074771951984194;1.1;0.0099267615070054
11:47.0;-0.07510134931664084;-1.1275312409643574;-0.31444627635790096;1.126;0.02662703321241989
11:47.0;-0.1125006305270938;-1.1311521966007392;-0.3760787091913568;1.126;0.04785802225226398
11:47.0;-0.14216548140828617;-1.1226236970890346;-0.4435838839546583;1.126;0.0707952507922417
11:47.0;-0.16071445870041118;-1.1005682314118355;-0.5137936757149313;1.155;0.09087840090562592
11:47.0;-0.16615926497553343;-1.0635401571664707;-0.5825414359116156;1.301;0.10294500451537579
11:47.1;-0.1582641745470477;-1.0102840966812496;-0.6449531426105072;1.4;0.1031227050980802
11:47.1;-0.1387126883124445;-0.9399958268201736;-0.695890559637341;1.351;0.09073671644838349
11:47.1;-0.11107400035064238;-0.8525310744474526;-0.7304697968933919;1.296;0.06917113387368076
11:47.1;-0.080577739653733;-0.7485183711792949;-0.744570308674869;1.212;0.04490795286945865
11:47.1;-0.05371991388518215;-0.6293645535685928;-0.7352714004583099;1.117;0.0248590919600329
11:47.1;-0.03772860348997144;-0.4971712128680946;-0.7011794859820817;0.892;0.013152427187277205
11:47.1;-0.03992411461142267;-0.3546026765600294;-0.6426269010413785;0.892;0.009097796214227735
11:47.1;-0.0670235762462188;-0.2047597864335331;-0.5617283245947556;0.892;0.007709009634134093
11:47.1;-0.12445004219338472;-0.05109251404490992;-0.46227281278624643;0.6759999999999999;0.0029393457449357996
11:47.1;-0.21569731891031518;0.10267137553906207;-0.3494244013825862;0.35600000000000004;0.007738331978719093
11:47.2;-0.3417890703518554;0.2526372776070063;-0.22923190449684797;0.275;0.01979386783974927
11:47.2;-0.5008746415067321;0.3949240150612497;-0.10801214173956021;0.575;0.021365603568580836
11:47.2;-0.6880246846766415;0.5258881784365369;0.008270041444828607;0.779;0.0029922998738863065
11:47.2;-0.8953144172913906;0.6423284494339517;0.11448813282429177;0.9059999999999999;0.06584051335629963
11:47.2;-1.1122966311083833;0.7416063508216024;0.20660686817267526;0.981;0.17042716380780362
11:47.2;-1.3269397204029971;0.8216577302812647;0.28167424968316546;2.1790000000000003;0.307106696242171
