Time;AccX;AccY;AccZ;Acc-old;Acc-trns
56:10.0;0.024732559817863556;-0.41820901639781904;-0.8539522028213757;0.951;0.008832751720964085
56:10.0;0.023744167598472664;-0.41937542326997906;-0.871900110090355;0.956;0.008682137457907324
56:10.0;0.022699888442946847;-0.42053034265280936;-0.889025417515796;1.011;0.008486629403466683
56:10.1;0.0215307875835591;-0.4216642922900696;-0.9045230283499238;1.043;0.00821195138633363
56:10.1;0.02019049882597229;-0.4227689166840646;-0.9177446942613305;1.051;0.007833790991892912
56:10.1;0.018663558857408925;-0.4238440221588848;-0.9282514001441308;1.043;0.007342875013657417
56:10.1;0.016967223750048204;-0.42489910572156125;-0.9358339984454169;1.043;0.006746762508634428
56:10.1;0.015145812602030424;-0.4259470524697403;-0.9405020987178668;1.034;0.006067474577594269
56:10.1;0.013259520610445368;-0.426995119277466;-0.9424473889168369;1.023;0.0053359020551726815
56:10.1;0.011370660375879596;-0.4280389831285981;-0.9419910861184383;1.0190000000000001;0.004584751537686895
56:10.1;0.00953036484955383;-0.4290622117193922;-0.9395267143775764;1.018;0.0038418369341615215
56:10.1;0.007768484679757512;-0.43004098050838924;-0.9354681271946659;1.0190000000000001;0.0031251808325542317
56:10.1;0.006088265635571593;-0.43095228511409583;-0.9302089953954554;1.0190000000000001;0.002440637700953332
56:10.2;0.004465925927069511;-0.4317825145465184;-0.9240959651314009;1.014;0.0017819423137496807
56:10.2;0.0028544765578669153;-0.43253314338408055;-0.9174148833487294;1.008;0.0011326915317711806
56:10.2;0.001190938092379636;-0.4332218338407275;-0.9103883366927126;0.997;0.00046970610836055384
56:10.2;-0.0005940722535542922;-0.43387929847538204;-0.9031830429331303;0.997;0.00023280053466277623
56:10.2;-0.0025656467502498063;-0.434543910262946;-0.8959260401236766;0.998;0.0009988555525581087
56:10.2;-0.004774359922691844;-0.4352564514345116;-0.8887276133398893;1.0;0.0018468390426960844
56:10.2;-0.007248500857125793;-0.4360560091503205;-0.8817067477344006;0.9990000000000001;0.0027868566802739794
56:10.2;-0.009990651754366857;-0.43697612518352946;-0.8750132535535677;0.993;0.0038200246159456933
56:10.2;-0.01297917589964648;-0.4380399751082887;-0.868840679184323;0.986;0.004939704962449329
56:10.2;-0.01617332825278891;-0.43925466735086416;-0.8634257658659591;0.977;0.006133957892460353
56:10.3;-0.019519913075060718;-0.4406061607255172;-0.85903292700026;0.9640000000000001;0.0073881934014223445
56:10.3;-0.022960184476544066;-0.44205698475995336;-0.8559253170022184;0.953;0.008687393680100372
56:10.3;-0.02643673659447578;-0.4435487682929836;-0.8543271591415389;0.948;0.010017824851047399
56:10.3;-0.029899774748604332;-0.4450099193399048;-0.854384815703013;0.948;0.011368184923075383
56:10.3;-0.033310644263326965;-0.44636604317158224;-0.8561354157024349;0.948;0.012729655307807501
56:10.3;-0.03664023560879438;-0.4475492808778463;-0.859490576041468;0.953;0.014094193851650536
56:10.3;-0.03986210420677108;-0.44850398031734384;-0.8642394354296999;0.9690000000000001;0.015451142615497132
56:10.3;-0.042943206683698075;-0.44918839324190085;-0.8700709194965991;0.9890000000000001;0.016783311317500695
56:10.3;-0.045837111243861674;-0.44957396264893495;-0.8766100098530265;0.996;0.01806445302053922
56:10.3;-0.048484379109792135;-0.44964477493211746;-0.8834585836588982;0.9990000000000001;0.019260057714499977
56:10.4;-0.05082178985354792;-0.4493991252633392;-0.8902317260848703;1.0070000000000001;0.020332240889139312
56:10.4;-0.052796913428123385;-0.44885302147268297;-0.8965852190577295;1.01;0.02124732504141395
56:10.4;-0.05438061823685612;-0.4480435188245186;-0.9022345403710736;1.022;0.021982839511554955
56:10.4;-0.055571156933864205;-0.44702937702931483;-0.906966875811595;1.022;0.022530816407014043
56:10.4;-0.056389025776690076;-0.4458875214101875;-0.9106463828427722;1.0190000000000001;0.022896530382992542
56:10.4;-0.056866926332747876;-0.4447049446616906;-0.9132123807203474;1.0170000000000001;0.02309423093510272
56:10.4;-0.057040245173338625;-0.4435664705412927;-0.9146716088243466;1.012;0.02314223463958264
56:10.4;-0.056941442449691945;-0.44254025728165003;-0.9150872287249333;1.013;0.023059173807606328
56:10.4;-0.05659901580139517;-0.44166491173860967;-0.9145670234248809;1.015;0.022862162914815666
56:10.4;-0.056039660470367174;-0.44094225960207967;-0.9132519506147204;1.016;0.022566688136135108
56:10.5;-0.05529151136032562;-0.4403375411424503;-0.9113049810472694;1.013;0.022187476904000646
56:10.5;-0.054386879012625435;-0.43978637053691816;-0.9088995012089301;1.011;0.021739610995145146
56:10.5;-0.05336395199047008;-0.43920661438146497;-0.9062069411773483;1.001;0.02123949766554491
56:10.5;-0.052267681783443265;-0.4385128111743403;-0.9033846943185805;1.001;0.02070562062167353
56:10.5;-0.05115003883512909;-0.4376305421092206;-0.9005667620219905;1.001;0.020159024167298176
56:10.5;-0.0500692401950061;-0.4365084320451889;-0.8978595248743024;0.998;0.019623299512478824
56:10.5;-0.049087117232745926;-0.435126046814238;-0.8953435046946439;1.0;0.01912371647291453
56:10.5;-0.04826415351317459;-0.43349686855740455;-0.8930800089085176;1.001;0.01868534092964092
56:10.5;-0.04765277277922606;-0.431666510738995;-0.8911199843398971;0.997;0.018330432672616526
56:10.5;-0.04729029729093988;-0.42970658570059445;-0.8895118919514736;0.992;0.018075728624918165
56:10.6;-0.0471929935381028;-0.4277046485940721;-0.8883063083997753;0.988;0.017930163224714062
56:10.6;-0.0473522881388638;-0.42575164120975634;-0.8875563852047084;0.988;0.01789341576471958
56:10.6;-0.047734299018584544;-0.4239294501853799;-0.887314189454217;0.98;0.01795566787733077
56:10.6;-0.04828380831098348;-0.4223010595052013;-0.8876235945965406;0.978;0.01809891440474639
56:10.6;-0.0489327340680378;-0.4209048415094948;-0.8885113697130015;0.978;0.018299802096878256
56:10.6;-0.04961144163084886;-0.4197537810128016;-0.8899788904530714;0.982;0.018533445685715577
56:10.6;-0.05026019576887564;-0.418839421239354;-0.8919966815225243;0.9840000000000001;0.018777378708925797
56:10.6;-0.05083798033824109;-0.41813883158496307;-0.8945030665488826;0.9890000000000001;0.019014750180203967
56:10.6;-0.05132639131975009;-0.41762208732944023;-0.8974071382870441;0.993;0.01923595312950495
56:10.6;-0.051727507635073756;-0.4172583901435448;-0.9005951527178969;0.997;0.019438208525231135
56:10.7;-0.05205656172521542;-0.4170201000500186;-0.9039385651046359;1.0;0.019623270183763027
56:10.7;-0.05233198733207292;-0.4168844814844715;-0.9073018214945753;1.002;0.019794053473876153
56:10.7;-0.052566100943099346;-0.41683315426236367;-0.9105486736402809;1.002;0.01995129938293873
56:10.7;-0.05275897164415736;-0.4168497017555234;-0.9135467734026208;1.002;0.02009123368378347
56:10.7;-0.052896413062622244;-0.4169163899235649;-0.9161714269402874;1.001;0.020204678065486554
56:10.7;-0.05295162321786225;-0.4170111004722566;-0.91831036343881;1.006;0.020277591930734175
56:10.7;-0.052889504298426704;-0.417105570097048;-0.9198713488120596;1.0170000000000001;0.02029282818473004
56:10.7;-0.05267266090455196;-0.4171659490628496;-0.9207927182594293;1.018;0.020232799918863384
56:10.7;-0.05226792310054353;-0.4171560060798372;-0.9210544216971137;1.018;0.020082558285067612
56:10.7;-0.05165208886658866;-0.41704194483308615;-0.9206862839097129;1.02;0.019832583889779033
56:10.8;-0.050815695639288345;-0.4167968775457862;-0.9197712867659333;1.0190000000000001;0.01948059330507294
56:10.8;-0.04976409521586883;-0.41640334213305674;-0.9184428350717104;1.0190000000000001;0.019031913249516374
56:10.8;-0.04851603953855788;-0.41585341208281706;-0.9168752860371048;1.003;0.018498472880363343
56:10.8;-0.04710105148788913;-0.4151471959406176;-0.9152678170259259;1.003;0.017897027406874145
56:10.8;-0.04555704196675513;-0.4142912800168558;-0.9138236231105342;1.003;0.017247402183223345
56:10.8;-0.04392860760432276;-0.41329843707107305;-0.9127277593735104;0.997;0.01657114280358231
56:10.8;-0.042265160406171884;-0.4121888711539114;-0.9121264633353003;0.996;0.015890363773040227
56:10.8;-0.040617504912095086;-0.4109921595525211;-0.9121099340561681;0.997;0.01522628534775963
56:10.8;-0.03903207529442285;-0.40974839925743345;-0.9127003308929708;0.996;0.014597117922226573
56:10.8;-0.037543651848432925;-0.4085070175378173;-0.9138463606289192;0.993;0.014015520209832825
56:10.9;-0.036169140967217316;-0.4073225097311984;-0.9154250992827685;0.996;0.013486505102758627
56:10.9;-0.03490576731875104;-0.4062481259518221;-0.9172510698330094;1.001;0.013006989417128552
56:10.9;-0.033736086129563275;-0.4053302076306631;-0.9190917005743179;1.001;0.012567894094121047
56:10.9;-0.03263942025675002;-0.40460559992735184;-0.9206875116199602;1.001;0.01215868417897381
56:10.9;-0.03160575089502776;-0.4041021152732563;-0.9217759235723163;1.0090000000000001;0.01177287673663696
56:10.9;-0.03064627329174234;-0.40383969631028527;-0.9221186193915066;1.015;0.011412307581785585
56:10.9;-0.02979610981981248;-0.40382964149414785;-0.9215316836642738;1.0170000000000001;0.011088378222607307
56:10.9;-0.02910775040280212;-0.40407065768390554;-0.9199153869569239;1.0190000000000001;0.010819665637303175
56:10.9;-0.028637054676248323;-0.4045425243020624;-0.9172785709112078;1.0190000000000001;0.010626586375087874
56:10.9;-0.028426329853441262;-0.4052000088345406;-0.9137520447924864;1.0190000000000001;0.010524915049838414
56:11.0;-0.028490142492439908;-0.4059703074680641;-0.909586054604506;1.004;0.010520410480467278
56:11.0;-0.028808343321720446;-0.4067561104124998;-0.9051292593652558;0.992;0.010606277214981218
56:11.0;-0.02932768057566768;-0.4074443490738874;-0.9007910467378271;0.982;0.010763910481886813
56:11.0;-0.029970030695348968;-0.4079190580170734;-0.8969935445518659;0.982;0.010966057060829126
56:11.0;-0.03064375614984121;-0.40807588933722716;-0.8941214556617063;0.972;0.011180969171253635
56:11.0;-0.031255642838003986;-0.4078357166056544;-0.8924764887183047;0.965;0.011376547286870124
56:11.0;-0.031722641251013504;-0.4071555056326353;-0.8922412767120512;0.965;0.011524231191998155
56:11.0;-0.031983060702448204;-0.4060354159820744;-0.8934570335320067;0.9670000000000001;0.011602661187684967
56:11.0;-0.03200565864979102;-0.4045211647215834;-0.8960186460282469;0.972;0.011600723227466228
56:11.0;-0.031794084069169684;-0.4027006342277301;-0.8996889517445519;0.983;0.01151916553174962
56:11.1;-0.0313849734379544;-0.4006945577841426;-0.9041307173672425;0.995;0.011370156273625793
56:11.1;-0.030840071860702176;-0.3986425963106207;-0.9089511706399647;1.005;0.01117479686583997
56:11.1;-0.030234449296691213;-0.39668714440648534;-0.9137510543835878;1.011;0.010959180503280042
56:11.1;-0.029643600379908645;-0.39495753550495527;-0.9181693939690133;1.011;0.010749893613260831
56:11.1;-0.02913226266440178;-0.39355725593714247;-0.9219169672352632;1.013;0.01056997472351052
56:11.1;-0.02874726962280799;-0.39255604499282654;-0.9247950396483854;1.01;0.01043623292237434
56:11.1;-0.02851562564753425;-0.391987231081141;-0.9266997611896234;1.0070000000000001;0.010358428579186932
56:11.1;-0.028447495209446932;-0.39184911524097715;-0.9276155141898522;1.005;0.010340246857276324
56:11.1;-0.028542349034464006;-0.3921085635039649;-0.9276019658878943;1.003;0.010381442438284275
56:11.1;-0.028795658388272027;-0.39270550664272036;-0.9267793405662267;1.008;0.010480218758460643
56:11.1;-0.029203701548570937;-0.39355810457573576;-0.9253145206777508;1.012;0.010634966818257048
56:11.2;-0.02976502871404791;-0.3945687298721963;-0.9234078465191767;1.011;0.01084482454918324
56:11.2;-0.03047842828742138;-0.39563047590703804;-0.9212785180848001;0.998;0.011108956101681344
56:11.2;-0.03133857883722765;-0.3966335417664792;-0.9191469682544117;0.998;0.011424933870506162
56:11.2;-0.0323315465426628;-0.397471188045235;-0.9172152063223454;0.99;0.01178700256968845
56:11.2;-0.03343228056158071;-0.39804571743696104;-0.9156484007153168;0.988;0.012185060774908133
