Time;AccX;AccY;AccZ;Acc-old;Acc-trns
53:25.6;-0.1608750766317485;0.08369699708646663;-0.9386923650601455;0.948;0.012639268179219409
53:25.6;-0.17374799342332217;0.08946003710470771;-0.9780272406600613;1.085;0.015201968311123967
53:25.7;-0.18511166950083244;0.09420505221819517;-1.015443578601148;1.167;0.017707766634145587
53:25.7;-0.19354312885834146;0.09665283013979699;-1.0491266367936372;1.0959999999999999;0.01962547815508584
53:25.7;-0.19787948260516644;0.09559420630650449;-1.0775023289227459;1.138;0.020382176374701577
53:25.7;-0.19737180556782027;0.09000476740122755;-1.09930455156068;1.138;0.01952848957020524
53:25.7;-0.1918054694507575;0.07917977231871755;-1.1135955949649066;1.158;0.016912302583135887
53:25.7;-0.18153346451301489;0.06283875363402758;-1.1197765700034492;1.119;0.012773668310019607
53:25.7;-0.16739646662014201;0.04116118146256505;-1.1176112538086185;1.127;0.007700605673581251
53:25.7;-0.15054903119579344;0.014751897848480966;-1.1072686136407635;1.173;0.0024591150695506335
53:25.7;-0.132247227236163;-0.015441350495399037;-1.0893731914233724;1.198;0.002224582618082204
53:25.7;-0.11365781166793974;-0.04823482764860299;-1.0650371299373418;1.1440000000000001;0.0058388157350616155
53:25.8;-0.09572460173071294;-0.08232084941092209;-1.03584180120921;1.073;0.008162568595738154
53:25.8;-0.0790973193746569;-0.11636540449808054;-1.0037516540302869;0.9790000000000001;0.009238722506121472
53:25.8;-0.06411142667797999;-0.14907527262943138;-0.9709712420866741;0.9520000000000001;0.009279988135074045
53:25.8;-0.050806721317893766;-0.17923172342432847;-0.9397768329788623;0.9520000000000001;0.00855777345172321
53:25.8;-0.03897915391329618;-0.2057018652066653;-0.9123524032237774;0.904;0.007315318812582316
53:25.8;-0.028264690128832197;-0.2274449150773317;-0.8906440745664254;0.863;0.005725647977406856
53:25.8;-0.018252276712872273;-0.24353038757269543;-0.8762367273152432;0.877;0.003894858252379424
53:25.8;-0.008615712181961926;-0.25317990512164845;-0.8702571441002984;0.905;0.0018983138326267163
53:25.8;0.0007595395469862619;-0.25583481503233896;-0.8733076555695889;0.895;0.00016969822635739184
53:25.8;0.00969560443503086;-0.25124457588997073;-0.8854282392555713;0.9009999999999999;0.002156874878617791
