time,gFx,gFy,gFz,acc
56:47.1,0.009,-0.168,-1.025,1.039
56:47.1,0.016,-0.169,-1.036,1.05
56:47.1,0.017,-0.178,-1.037,1.052
56:47.2,-0.007,-0.193,-0.997,1.016
56:47.2,-0.007,-0.193,-0.997,1.016
56:47.2,-0.018,-0.195,-0.979,0.998
56:47.2,-0.024,-0.198,-0.969,0.989
56:47.2,-0.022,-0.202,-0.969,0.99
56:47.2,-0.019,-0.208,-0.961,0.983
56:47.2,-0.019,-0.209,-0.952,0.975
56:47.2,-0.023,-0.205,-0.953,0.975
56:47.2,-0.022,-0.202,-0.96,0.981
56:47.2,-0.016,-0.203,-0.966,0.987
56:47.3,-0.006,-0.197,-0.976,0.996
56:47.3,-0.006,-0.197,-0.976,0.996
56:47.3,-0.006,-0.196,-0.971,0.991
56:47.3,-0.01,-0.197,-0.972,0.992
56:47.3,-0.013,-0.201,-0.972,0.993
56:47.3,-0.017,-0.206,-0.969,0.991
56:47.3,-0.022,-0.211,-0.963,0.986
56:47.3,-0.025,-0.214,-0.957,0.981
56:47.3,-0.028,-0.217,-0.95,0.975
56:47.3,-0.03,-0.223,-0.941,0.968
56:47.4,-0.03,-0.232,-0.942,0.971
56:47.4,-0.03,-0.232,-0.942,0.971
56:47.4,-0.032,-0.233,-0.948,0.977
56:47.4,-0.034,-0.234,-0.954,0.983
56:47.4,-0.038,-0.234,-0.959,0.988
56:47.4,-0.044,-0.233,-0.963,0.992
56:47.4,-0.047,-0.233,-0.964,0.993
56:47.4,-0.05,-0.233,-0.969,0.998
56:47.4,-0.052,-0.234,-0.971,1
56:47.4,-0.051,-0.234,-0.977,1.006
56:47.5,-0.051,-0.231,-0.98,1.008
56:47.5,-0.051,-0.231,-0.98,1.008
56:47.5,-0.051,-0.226,-0.978,1.005
56:47.5,-0.048,-0.221,-0.967,0.993
56:47.5,-0.043,-0.223,-0.949,0.976
56:47.5,-0.037,-0.228,-0.939,0.967
56:47.5,-0.029,-0.231,-0.931,0.96
56:47.5,-0.022,-0.235,-0.929,0.959
56:47.5,-0.016,-0.24,-0.927,0.958
56:47.5,-0.009,-0.243,-0.928,0.959
56:47.6,-0.003,-0.238,-0.931,0.961
56:47.6,-0.003,-0.238,-0.931,0.961
56:47.6,-0.002,-0.236,-0.942,0.971
56:47.6,-0.004,-0.235,-0.951,0.98
56:47.6,-0.004,-0.231,-0.947,0.975
56:47.6,-0.003,-0.226,-0.951,0.977
56:47.6,-0.004,-0.224,-0.96,0.986
56:47.6,-0.003,-0.223,-0.968,0.993
56:47.6,-0.002,-0.221,-0.974,0.999
56:47.6,-0.001,-0.217,-0.978,1.002
56:47.7,0.003,-0.206,-0.998,1.019
56:47.7,0.003,-0.206,-0.998,1.019
56:47.7,0.003,-0.206,-0.998,1.019
56:47.7,0.003,-0.203,-0.996,1.016
56:47.7,0.002,-0.201,-0.998,1.018
56:47.7,0.004,-0.203,-1.001,1.021
56:47.7,0.006,-0.202,-1,1.02
56:47.7,0.005,-0.198,-1,1.019
56:47.7,0.005,-0.191,-1.003,1.021
56:47.7,0.003,-0.187,-1.002,1.019
56:47.8,0.001,-0.181,-1,1.016
56:47.8,0.001,-0.181,-1,1.016
