time,gFx,gFy,gFz,acc
53:25.6,-0.161,0.082,-0.931,0.948
53:25.6,-0.123,0.076,-1.075,1.085
53:25.7,-0.126,0.025,-1.16,1.167
53:25.7,-0.209,-0.021,-1.076,1.096
53:25.7,-0.334,0.194,-1.07,1.138
53:25.7,-0.334,0.194,-1.07,1.138
53:25.7,-0.337,0.172,-1.094,1.158
53:25.7,-0.224,0.092,-1.092,1.119
53:25.7,-0.101,0.06,-1.121,1.127
53:25.7,-0.073,0.024,-1.17,1.173
53:25.7,-0.053,-0.017,-1.197,1.198
53:25.7,-0.071,-0.104,-1.137,1.144
53:25.8,-0.064,-0.135,-1.063,1.073
53:25.8,-0.056,-0.127,-0.969,0.979
53:25.8,-0.022,-0.163,-0.938,0.952
53:25.8,-0.022,-0.163,-0.938,0.952
53:25.8,-0.012,-0.171,-0.888,0.904
53:25.8,-0.014,-0.191,-0.841,0.863
53:25.8,-0.043,-0.227,-0.846,0.877
53:25.8,-0.124,-0.246,-0.862,0.905
53:25.8,-0.161,-0.245,-0.846,0.895
53:25.8,-0.117,-0.21,-0.868,0.901
53:25.9,0.157,-0.377,-0.727,0.834
53:25.9,0.108,-0.461,-0.965,1.075
53:25.9,0.089,-0.273,-0.982,1.023
53:25.9,0.089,-0.273,-0.982,1.023
53:25.9,-0.018,0.08,-1.085,1.088
53:25.9,-0.057,-0.008,-1.172,1.173
53:25.9,-0.046,-0.08,-1.145,1.149
53:25.9,0.019,-0.024,-1.108,1.108
53:25.9,0.118,-0.015,-1.159,1.165
53:25.9,0.086,-0.042,-1.272,1.276
53:26.0,-0.015,-0.078,-1.326,1.328
53:26.0,-0.045,-0.077,-1.321,1.324
53:26.0,-0.174,-0.014,-1.351,1.362
53:26.0,-0.174,-0.014,-1.351,1.362
53:26.0,-0.18,-0.165,-1.288,1.311
53:26.0,-0.165,-0.262,-1.078,1.122
53:26.0,-0.167,-0.268,-0.969,1.019
53:26.0,-0.197,-0.284,-1.021,1.078
53:26.0,-0.232,-0.284,-1.136,1.194
53:26.0,-0.214,-0.275,-1.223,1.272
53:26.1,-0.167,-0.294,-1.291,1.335
53:26.1,-0.097,-0.345,-1.296,1.345
53:26.1,-0.058,-0.332,-1.299,1.342
53:26.1,-0.058,-0.332,-1.299,1.342
53:26.1,-0.077,-0.341,-1.315,1.361
53:26.1,-0.128,-0.343,-1.312,1.362
53:26.1,-0.134,-0.388,-1.256,1.321
53:26.1,-0.172,-0.42,-1.194,1.277
53:26.1,-0.187,-0.446,-1.146,1.244
53:26.1,-0.199,-0.455,-1.085,1.193
53:26.2,-0.286,-0.34,-0.998,1.092
53:26.2,-0.285,-0.271,-0.955,1.033
53:26.2,-0.226,-0.274,-1.068,1.126
53:26.2,-0.226,-0.274,-1.068,1.126
53:26.2,-0.242,-0.279,-1.01,1.075
53:26.2,-0.22,-0.271,-0.943,1.006
53:26.2,-0.209,-0.233,-0.929,0.98
53:26.2,-0.186,-0.229,-0.824,0.875
53:26.2,-0.154,-0.316,-0.755,0.833
53:26.2,-0.135,-0.31,-0.687,0.766
53:26.3,-0.127,-0.337,-0.666,0.757
53:26.3,-0.125,-0.362,-0.706,0.803
53:26.3,-0.138,-0.379,-0.798,0.894
53:26.3,-0.138,-0.379,-0.798,0.894
53:26.3,-0.158,-0.376,-0.857,0.949
53:26.3,-0.174,-0.357,-0.915,0.997
53:26.3,-0.202,-0.334,-0.952,1.029
53:26.3,-0.245,-0.31,-0.955,1.034
53:26.3,-0.296,-0.303,-0.945,1.036
53:26.3,-0.324,-0.288,-0.95,1.044
53:26.4,-0.331,-0.28,-0.946,1.041
53:26.4,-0.336,-0.278,-0.922,1.02
53:26.4,-0.274,-0.285,-0.822,0.912
53:26.4,-0.225,-0.295,-0.774,0.858
53:26.4,-0.225,-0.295,-0.774,0.858
53:26.4,-0.183,-0.306,-0.745,0.826
53:26.4,-0.154,-0.292,-0.733,0.804
53:26.4,-0.163,-0.291,-0.736,0.808
53:26.4,-0.173,-0.307,-0.738,0.818
53:26.4,-0.152,-0.287,-0.73,0.799
53:26.4,-0.145,-0.284,-0.725,0.792
53:26.5,-0.138,-0.305,-0.706,0.781
53:26.5,-0.128,-0.344,-0.596,0.7
53:26.5,-0.139,-0.375,-0.58,0.705
53:26.5,-0.139,-0.375,-0.58,0.705
53:26.5,-0.139,-0.397,-0.623,0.752
53:26.5,-0.119,-0.382,-0.7,0.806
53:26.5,-0.108,-0.376,-0.781,0.873
53:26.5,-0.113,-0.381,-0.832,0.922
53:26.5,-0.11,-0.386,-0.848,0.938
53:26.5,-0.099,-0.392,-0.842,0.934
53:26.6,-0.094,-0.411,-0.842,0.942
53:26.6,-0.042,-0.432,-0.843,0.948
53:26.6,-0.042,-0.432,-0.843,0.948
53:26.6,0.014,-0.419,-0.822,0.923
53:26.6,0.01,-0.462,-0.881,0.995
53:26.6,0.016,-0.479,-0.907,1.026
53:26.6,0.04,-0.488,-0.932,1.053
53:26.6,0.055,-0.484,-0.932,1.052
53:26.6,0.068,-0.489,-0.921,1.045
53:26.6,0.036,-0.541,-0.925,1.072
53:26.7,0.018,-0.593,-0.928,1.101
53:26.7,0.026,-0.557,-0.925,1.08
53:26.7,0.026,-0.557,-0.925,1.08
53:26.7,0.003,-0.569,-0.968,1.123
53:26.7,-0.023,-0.569,-0.979,1.133
53:26.7,-0.041,-0.56,-0.997,1.144
53:26.7,-0.039,-0.54,-1.021,1.156
53:26.7,-0.043,-0.534,-1.023,1.155
53:26.7,-0.049,-0.532,-0.997,1.131
53:26.7,-0.057,-0.535,-0.965,1.105
53:26.8,-0.058,-0.539,-0.933,1.079
53:26.8,-0.062,-0.549,-0.873,1.033
53:26.8,-0.062,-0.549,-0.873,1.033
53:26.8,-0.083,-0.544,-0.884,1.041
53:26.8,-0.094,-0.511,-0.897,1.037
